ATC;Medicamento;Medicamento;Anatomico;Terapeutico;Farmacologico;Quimico
A;APARATO DIGESTIVO Y METABOLISMO;APARATO DIGESTIVO Y METABOLISMO;A;;;
A01;PREPARADOS ESTOMATOLOGICOS;PREPARADOS ESTOMATOLOGICOS;A;A01;;
A01A;PREPARADOS ESTOMATOLOGICOS;PREPARADOS ESTOMATOLOGICOS;A;A01;A01A;
A01AA;PREPARADOS PREVENTIVOS DE LA CARIES;PREPARADOS PREVENTIVOS DE LA CARIES;A;A01;A01A;A01AA
A01AA01;FLUORURO SODICO;FLUORURO SODICO;A;A01;A01A;A01AA
A01AA30;ASOCIACIONES DE AGENTES PREVENTIVOS DE LA CARIES;ASOCIACIONES DE AGENTES PREVENTIVOS DE LA CARIES;A;A01;A01A;A01AA
A01AA51;FLUORURO SODICO EN ASOCIACION;FLUORURO SODICO EN ASOCIACION;A;A01;A01A;A01AA
A01AB;ANTIINFECCIOSOS DE USO ORAL LOCAL;ANTIINFECCIOSOS DE USO ORAL LOCAL;A;A01;A01A;A01AB
A01AB02;PEROXIDO DE HIDROGENO;PEROXIDO DE HIDROGENO;A;A01;A01A;A01AB
A01AB03;CLORHEXIDINA;CLORHEXIDINA;A;A01;A01A;A01AB
A01AB04;ANFOTERICINA B;ANFOTERICINA B;A;A01;A01A;A01AB
A01AB09;MICONAZOL;MICONAZOL;A;A01;A01A;A01AB
A01AB11;VARIOS ANTIINFECCIOSOS ORAL LOCAL;VARIOS ANTIINFECCIOSOS ORAL LOCAL;A;A01;A01A;A01AB
A01AB12;HEXETIDINA;HEXETIDINA;A;A01;A01A;A01AB
A01AB13;TETRACICLINA;TETRACICLINA;A;A01;A01A;A01AB
A01AB19;PERBORATO SODICO;PERBORATO SODICO;A;A01;A01A;A01AB
A01AB22;DOXICILINA;DOXICILINA;A;A01;A01A;A01AB
A01AB23;MINOCICLINA;MINOCICLINA;A;A01;A01A;A01AB
A01AB53;CLORHEXIDINA EN ASOCIACION;CLORHEXIDINA EN ASOCIACION;A;A01;A01A;A01AB
A01AB62;HEXETIDINA EN ASOCIACION;HEXETIDINA EN ASOCIACION;A;A01;A01A;A01AB
A01AB91;NISTATINA;NISTATINA;A;A01;A01A;A01AB
A01AB92;NISTATINA ASOC. A CORTICOIDES;NISTATINA ASOC. A CORTICOIDES;A;A01;A01A;A01AB
A01ABNE;ANTIINFECCIOSOS DE USO ORAL LOCAL NE;ANTIINFECCIOSOS DE USO ORAL LOCAL NE;A;A01;A01A;A01AB
A01AC;CORTICOSTEROIDES DE USO ORAL LOCAL;CORTICOSTEROIDES DE USO ORAL LOCAL;A;A01;A01A;A01AC
A01AC01;TRIAMCINOLONA;TRIAMCINOLONA;A;A01;A01A;A01AC
A01AC02;DEXAMETASONA;DEXAMETASONA;A;A01;A01A;A01AC
A01AC03;HIDROCORTISONA;HIDROCORTISONA;A;A01;A01A;A01AC
A01AC53;HIDROCORTISONA EN ASOCIACION;HIDROCORTISONA EN ASOCIACION;A;A01;A01A;A01AC
A01AD;OTROS PREPARADOS DE USO ORAL LOCAL;OTROS PREPARADOS DE USO ORAL LOCAL;A;A01;A01A;A01AD
A01AD02;BENCIDAMINA;BENCIDAMINA;A;A01;A01A;A01AD
A01AD05;ACIDO ACETILSALICILICO;ACIDO ACETILSALICILICO;A;A01;A01A;A01AD
A01AD08;BECLAPERMINA;BECLAPERMINA;A;A01;A01A;A01AD
A01AD11;VARIOS (TRATAMIENTO ORAL LOCAL);VARIOS (TRATAMIENTO ORAL LOCAL);A;A01;A01A;A01AD
A01AD91;CLOROFILA;CLOROFILA;A;A01;A01A;A01AD
A01AD92;CARBENOXOLONA;CARBENOXOLONA;A;A01;A01A;A01AD
A01ADNE;OTROS PREPARADOS DE USO ORAL LOCAL NE;OTROS PREPARADOS DE USO ORAL LOCAL NE;A;A01;A01A;A01AD
A02;MEDICAMENTOS PARA TRASTORNOS POR LA SECRECION GASTRICA;MEDICAMENTOS PARA TRASTORNOS POR LA SECRECION GASTRICA;A;A02;;
A02A;ANTIACIDOS;ANTIACIDOS;A;A02;A02A;
A02AA;COMPUESTOS DE MAGNESIO (ANTIACIDOS);COMPUESTOS DE MAGNESIO (ANTIACIDOS);A;A02;A02A;A02AA
A02AA04;MAGNESIO HIDROXIDO;MAGNESIO HIDROXIDO;A;A02;A02A;A02AA
A02AA05;MAGNESIO TRISILICATO;MAGNESIO TRISILICATO;A;A02;A02A;A02AA
A02AA91;MAGNESIO POLIGALACTURONATO;MAGNESIO POLIGALACTURONATO;A;A02;A02A;A02AA
A02AA94;MAGNESIO POLIGALACTURONATO;MAGNESIO POLIGALACTURONATO;A;A02;A02A;A02AA
A02AB;COMPUESTOS DE ALUMINIO (ANTIACIDOS);COMPUESTOS DE ALUMINIO (ANTIACIDOS);A;A02;A02A;A02AB
A02AB02;ALGELDRATO;ALGELDRATO;A;A02;A02A;A02AB
A02AB03;ALUMINIO FOSFATO;ALUMINIO FOSFATO;A;A02;A02A;A02AB
A02AB04;CARBONATO DE DIHIDROXIALUMINIO SODICO;CARBONATO DE DIHIDROXIALUMINIO SODICO;A;A02;A02A;A02AB
A02AB06;ALOGLUTAMOL;ALOGLUTAMOL;A;A02;A02A;A02AB
A02AB07;ALUMINIO GLICINATO;ALUMINIO GLICINATO;A;A02;A02A;A02AB
A02AB91;ALUMINIO ACEGLUTAMIDA;ALUMINIO ACEGLUTAMIDA;A;A02;A02A;A02AB
A02AD;ASOCIACIONES Y COMPL. DE COMP. DE ALUMINIO, CALCIO Y MAGNESI;ASOCIACIONES Y COMPL. DE COMP. DE ALUMINIO, CALCIO Y MAGNESI;A;A02;A02A;A02AD
A02AD01;SALES ORDINARIAS EN ASOCIACION (ANTIACIDOS);SALES ORDINARIAS EN ASOCIACION (ANTIACIDOS);A;A02;A02A;A02AD
A02AD02;MAGALDRATO;MAGALDRATO;A;A02;A02A;A02AD
A02AD03;ALMAGATO;ALMAGATO;A;A02;A02A;A02AD
A02AD04;HIDROTALCITA;HIDROTALCITA;A;A02;A02A;A02AD
A02AD05;ALMASILATO;ALMASILATO;A;A02;A02A;A02AD
A02ADNE;ASOCIACIONES Y COMPL. DE COMP. DE ALUMINIO, CALCIO Y MAGNESI NE;ASOCIACIONES Y COMPL. DE COMP. DE ALUMINIO, CALCIO Y MAGNESI NE;A;A02;A02A;A02AD
A02AF;ANTIACIDOS ASOCIADOS A ANTIFLATULENTOS;ANTIACIDOS ASOCIADOS A ANTIFLATULENTOS;A;A02;A02A;A02AF
