ATC;Medicamento;Drug;Anatomico;Terapeutico;Farmacologico;Quimico
A;APARATO DIGESTIVO Y METABOLISMO;DIGESTIVE SYSTEM AND METABOLISM;A;;;
A01;PREPARADOS ESTOMATOLOGICOS;STOMATOLOGICAL PREPARATIONS;A;A01;;
A01A;PREPARADOS ESTOMATOLOGICOS;STOMATOLOGICAL PREPARATIONS;A;A01;A01A;
A01AA;PREPARADOS PREVENTIVOS DE LA CARIES;CARIES PREVENTIVE PREPARATIONS;A;A01;A01A;A01AA
A01AA01;FLUORURO SODICO;SODIUM FLUORIDE;A;A01;A01A;A01AA
A01AA30;ASOCIACIONES DE AGENTES PREVENTIVOS DE LA CARIES;ASSOCIATIONS OF CARIES PREVENTIVE AGENTS;A;A01;A01A;A01AA
A01AA51;FLUORURO SODICO EN ASOCIACION;SODIUM FLUORIDE IN ASSOCIATION;A;A01;A01A;A01AA
A01AB;ANTIINFECCIOSOS DE USO ORAL LOCAL;ANTIINFECTIVES FOR LOCAL ORAL USE;A;A01;A01A;A01AB
A01AB02;PEROXIDO DE HIDROGENO;HYDROGEN PEROXIDE;A;A01;A01A;A01AB
A01AB03;CLORHEXIDINA;Chlorhexidine;A;A01;A01A;A01AB
A01AB04;ANFOTERICINA B;AMPHOTERICIN B;A;A01;A01A;A01AB
A01AB09;MICONAZOL;Miconazole;A;A01;A01A;A01AB
A01AB11;VARIOS ANTIINFECCIOSOS ORAL LOCAL;VARIOUS ORAL LOCAL ANTIINFECTIVES;A;A01;A01A;A01AB
A01AB12;HEXETIDINA;HEXETIDINE;A;A01;A01A;A01AB
A01AB13;TETRACICLINA;TETRACYCLINE;A;A01;A01A;A01AB
A01AB19;PERBORATO SODICO;SODIUM PERBORATE;A;A01;A01A;A01AB
A01AB22;DOXICILINA;DOXYCILLIN;A;A01;A01A;A01AB
A01AB23;MINOCICLINA;MINOCYCLINE;A;A01;A01A;A01AB
A01AB53;CLORHEXIDINA EN ASOCIACION;CHLORHEXIDINE IN ASSOCIATION;A;A01;A01A;A01AB
A01AB62;HEXETIDINA EN ASOCIACION;HEXETIDINE IN ASSOCIATION;A;A01;A01A;A01AB
A01AB91;NISTATINA;Nystatin;A;A01;A01A;A01AB
A01AB92;NISTATINA ASOC. A CORTICOIDES;Nystatin in association with steroids;A;A01;A01A;A01AB
A01ABNE;ANTIINFECCIOSOS DE USO ORAL LOCAL NE;ANTIINFECTIVES FOR LOCAL ORAL USE NE;A;A01;A01A;A01AB
A01AC;CORTICOSTEROIDES DE USO ORAL LOCAL;Local oral steroids;A;A01;A01A;A01AC
A01AC01;TRIAMCINOLONA;TRIAMCINOLONE;A;A01;A01A;A01AC
A01AC02;DEXAMETASONA;Dexamethasone;A;A01;A01A;A01AC
A01AC03;HIDROCORTISONA;HYDROCORTISONE;A;A01;A01A;A01AC
A01AC53;HIDROCORTISONA EN ASOCIACION;HYDROCORTISONE IN ASSOCIATION;A;A01;A01A;A01AC
A01AD;OTROS PREPARADOS DE USO ORAL LOCAL;OTHER PREPARATIONS FOR LOCAL ORAL USE;A;A01;A01A;A01AD
A01AD02;BENCIDAMINA;Benzydamine;A;A01;A01A;A01AD
A01AD05;ACIDO ACETILSALICILICO;ACETYLSALICYLIC ACID;A;A01;A01A;A01AD
A01AD08;BECLAPERMINA;BECLAPERMINE;A;A01;A01A;A01AD
A01AD11;VARIOS (TRATAMIENTO ORAL LOCAL);MISCELLANEOUS (LOCAL ORAL TREATMENT);A;A01;A01A;A01AD
A01AD91;CLOROFILA;CHLOROPHYLL;A;A01;A01A;A01AD
A01AD92;CARBENOXOLONA;CARBENOXOLONE;A;A01;A01A;A01AD
A01ADNE;OTROS PREPARADOS DE USO ORAL LOCAL NE;OTHER PREPARATIONS FOR LOCAL ORAL USE NE;A;A01;A01A;A01AD
A02;MEDICAMENTOS PARA TRASTORNOS POR LA SECRECION GASTRICA;MEDICINES FOR GASTRIC SECRETION DISORDERS;A;A02;;
A02A;ANTIACIDOS;ANTACIDS;A;A02;A02A;
A02AA;COMPUESTOS DE MAGNESIO (ANTIACIDOS);MAGNESIUM COMPOUNDS (ANTACIDS);A;A02;A02A;A02AA
A02AA04;MAGNESIO HIDROXIDO;MAGNESIUM HYDROXIDE;A;A02;A02A;A02AA
A02AA05;MAGNESIO TRISILICATO;MAGNESIUM TRISILICATE;A;A02;A02A;A02AA
A02AA91;MAGNESIO POLIGALACTURONATO;MAGNESIUM POLYGALACTURONATE;A;A02;A02A;A02AA
A02AA94;MAGNESIO POLIGALACTURONATO;MAGNESIUM POLYGALACTURONATE;A;A02;A02A;A02AA
A02AB;COMPUESTOS DE ALUMINIO (ANTIACIDOS);ALUMINUM COMPOUNDS (ANTACIDS);A;A02;A02A;A02AB
A02AB02;ALGELDRATO;ALGELDRATO;A;A02;A02A;A02AB
A02AB03;ALUMINIO FOSFATO;ALUMINUM PHOSPHATE;A;A02;A02A;A02AB
A02AB04;CARBONATO DE DIHIDROXIALUMINIO SODICO;SODIUM DIHYDROXYALUMINUM CARBONATE;A;A02;A02A;A02AB
A02AB06;ALOGLUTAMOL;ALOGLUTAMOL;A;A02;A02A;A02AB
A02AB07;ALUMINIO GLICINATO;ALUMINUM GLYCINATE;A;A02;A02A;A02AB
A02AB91;ALUMINIO ACEGLUTAMIDA;ALUMINUM ACEGLUTAMIDE;A;A02;A02A;A02AB
A02AD;ASOCIACIONES Y COMPL. DE COMP. DE ALUMINIO, CALCIO Y MAGNESI;ASSOCIATIONS AND COMPL. OF ALUMINUM, CALCIUM AND MAGNESIUM COMPL.;A;A02;A02A;A02AD
A02AD01;SALES ORDINARIAS EN ASOCIACION (ANTIACIDOS);ORDINARY SALTS IN ASSOCIATION (ANTACIDS);A;A02;A02A;A02AD
A02AD02;MAGALDRATO;MAGALDRATE;A;A02;A02A;A02AD
A02AD03;ALMAGATO;ALMAGATO;A;A02;A02A;A02AD
A02AD04;HIDROTALCITA;HYDROTALCITE;A;A02;A02A;A02AD
A02AD05;ALMASILATO;ALMASILATE;A;A02;A02A;A02AD
A02ADNE;ASOCIACIONES Y COMPL. DE COMP. DE ALUMINIO, CALCIO Y MAGNESI NE;ASSOCIATIONS AND COMPL. OF ALUMINUM, CALCIUM AND MAGNESIUM COMPL.;A;A02;A02A;A02AD
A02AF;ANTIACIDOS ASOCIADOS A ANTIFLATULENTOS;ANTACIDS ASSOCIATED WITH ANTIFLATULENTS;A;A02;A02A;A02AF
