ATC;COD_ATC;Descripcion;;;;;;
1;A;APARATO DIGESTIVO Y METABOLISMO;;;;;;
2;A01;PREPARADOS ESTOMATOLOGICOS;;;;;;
3;A01A;PREPARADOS ESTOMATOLOGICOS;;;;;;
4;A01AA;PREPARADOS PREVENTIVOS DE LA CARIES;;;;;;
5;A01AA01;FLUORURO SODICO;;;;;;
5;A01AA30;ASOCIACIONES DE AGENTES PREVENTIVOS DE LA CARIES;;;;;;
5;A01AA51;FLUORURO SODICO EN ASOCIACION;;;;;;
4;A01AB;ANTIINFECCIOSOS DE USO ORAL LOCAL;;;;;;
5;A01AB02;PEROXIDO DE HIDROGENO;;;;;;
5;A01AB03;CLORHEXIDINA;;;;;;
5;A01AB04;ANFOTERICINA B;;;;;;
5;A01AB09;MICONAZOL;;;;;;
5;A01AB11;VARIOS ANTIINFECCIOSOS ORAL LOCAL;;;;;;
5;A01AB12;HEXETIDINA;;;;;;
5;A01AB13;TETRACICLINA;;;;;;
5;A01AB19;PERBORATO SODICO;;;;;;
5;A01AB22;DOXICILINA;;;;;;
5;A01AB23;MINOCICLINA;;;;;;
5;A01AB53;CLORHEXIDINA EN ASOCIACION;;;;;;
5;A01AB62;HEXETIDINA EN ASOCIACION;;;;;;
5;A01AB91;NISTATINA;;;;;;
5;A01AB92;NISTATINA ASOC. A CORTICOIDES;;;;;;
5;A01ABNE;ANTIINFECCIOSOS DE USO ORAL LOCAL NE;;;;;;
4;A01AC;CORTICOSTEROIDES DE USO ORAL LOCAL;;;;;;
5;A01AC01;TRIAMCINOLONA;;;;;;
5;A01AC02;DEXAMETASONA;;;;;;
5;A01AC03;HIDROCORTISONA;;;;;;
5;A01AC53;HIDROCORTISONA EN ASOCIACION;;;;;;
4;A01AD;OTROS PREPARADOS DE USO ORAL LOCAL;;;;;;
5;A01AD02;BENCIDAMINA;;;;;;
5;A01AD05;ACIDO ACETILSALICILICO;;;;;;
5;A01AD08;BECLAPERMINA;;;;;;
5;A01AD11;VARIOS (TRATAMIENTO ORAL LOCAL);;;;;;
5;A01AD91;CLOROFILA;;;;;;
5;A01AD92;CARBENOXOLONA;;;;;;
5;A01ADNE;OTROS PREPARADOS DE USO ORAL LOCAL NE;;;;;;
2;A02;MEDICAMENTOS PARA TRASTORNOS POR LA SECRECION GASTRICA;;;;;;
