FLUORURO SODICO;SODIUM FLUORIDE
ASOCIACIONES DE AGENTES PREVENTIVOS DE LA CARIES; ASSOCIATIONS OF CARIES PREVENTIVE AGENTS
FLUORURO SODICO EN ASOCIACION; SODIUM FLUORIDE IN ASSOCIATION
PEROXIDO DE HIDROGENO; HYDROGEN PEROXIDE
CLORHEXIDINA; Chlorhexidine
ANFOTERICINA B; AMPHOTERICIN B
MICONAZOL; Miconazole
VARIOS ANTIINFECCIOSOS ORAL LOCAL; VARIOUS ORAL LOCAL ANTIINFECTIVES
HEXETIDINA; HEXETIDINE
TETRACICLINA; TETRACYCLINE
PERBORATO SODICO; SODIUM PERBORATE
DOXICILINA; DOXYCILLIN
MINOCICLINA; MINOCYCLINE
CLORHEXIDINA EN ASOCIACION; CHLORHEXIDINE IN ASSOCIATION
HEXETIDINA EN ASOCIACION; HEXETIDINE IN ASSOCIATION
NISTATINA; Nystatin
NISTATINA ASOC. A CORTICOIDES; Nystatin in association with steroids
ANTIINFECCIOSOS DE USO ORAL LOCAL NE; ANTIINFECTIVES FOR LOCAL ORAL USE NE
TRIAMCINOLONA; TRIAMCINOLONE
DEXAMETASONA; Dexamethasone
HIDROCORTISONA; HYDROCORTISONE
HIDROCORTISONA EN ASOCIACION; HYDROCORTISONE IN ASSOCIATION
BENCIDAMINA; Benzydamine
ACIDO ACETILSALICILICO; ACETYLSALICYLIC ACID
BECLAPERMINA; BECLAPERMINE
VARIOS (TRATAMIENTO ORAL LOCAL); MISCELLANEOUS (LOCAL ORAL TREATMENT)
CLOROFILA; CHLOROPHYLL
CARBENOXOLONA; CARBENOXOLONE
OTROS PREPARADOS DE USO ORAL LOCAL NE; OTHER PREPARATIONS FOR LOCAL ORAL USE NE
MAGNESIO HIDROXIDO; MAGNESIUM HYDROXIDE
MAGNESIO TRISILICATO; MAGNESIUM TRISILICATE
MAGNESIO POLIGALACTURONATO; MAGNESIUM POLYGALACTURONATE
MAGNESIO POLIGALACTURONATO; MAGNESIUM POLYGALACTURONATE
ALGELDRATO; ALGELDRATO
ALUMINIO FOSFATO; ALUMINUM PHOSPHATE
CARBONATO DE DIHIDROXIALUMINIO SODICO; SODIUM DIHYDROXYALUMINUM CARBONATE
ALOGLUTAMOL; ALOGLUTAMOL
ALUMINIO GLICINATO; ALUMINUM GLYCINATE
ALUMINIO ACEGLUTAMIDA; ALUMINUM ACEGLUTAMIDE
SALES ORDINARIAS EN ASOCIACION (ANTIACIDOS);ORDINARY SALTS IN ASSOCIATION (ANTACIDS)
MAGALDRATO; MAGALDRATE
ALMAGATO; ALMAGATO
HIDROTALCITA; HYDROTALCITE
ALMASILATO; ALMASILATE
ASOCIACIONES Y COMPL. DE COMP. DE ALUMINIO, CALCIO Y MAGNESI NE; ASSOCIATIONS AND COMPL. OF ALUMINUM, CALCIUM AND MAGNESIUM COMPL.
ANTIACIDOS ASOCIADOS A ANTIFLATULENTOS; ANTACIDS ASSOCIATED WITH ANTIFLATULENTS
ANTIACIDOS CON ANTIESPASMODICOS NE; ANTACIDS WITH ANTISPASMODICS NE
SODIO BICARBONATO; SODIUM BICARBONATE
ANTIACIDOS CON BICARBONATO SODICO NE; ANTACIDS WITH SODIUM BICARBONATE NE
MAGNESIO HIDROX+CALCIO CARB+FAMOTIDINA; MAGNESIUM HYDROX+CALCIUM CARB+FAMOTIDINE
OTRAS ASOCIACIONES DE ANTIACIDOS NE; OTHER ANTACID ASSOCIATIONS NE
CIMETIDINA; CIMETIDINE
RANITIDINA; Ranitidine
FAMOTIDINA; FAMOTIDINE
NIZATIDINA; NIZATIDINE
ROXATIDINA; ROXATIDINE
RANITIDINA BISMUTO CITRATO; Ranitidine bismuth citrate
EBROTIDINA; EBROTIDINE
MISOPROSTOL; MISOPROSTOL
OMEPRAZOL; OMEPRAZOL
PANTOPRAZOL; PANTOPRAZOLE
LANSOPRAZOL; LANSOPRAZOL
RABEPRAZOL; RABEPRAZOL
ESOMEPRAZOL; Esomeprazole
DEXLANSOPRAZOL; Dexlansoprazole
INHIBIDORES DE LA BOMBA DE PROTONES (ANTIULCERA PEPTICA) NE; PROTON PUMP INHIBITORS (ANTIPEPTIC ULCER) NE
OMEPRAZOL+AMOXICILINA+METRONIDAZOL; OMEPRAZOLE+AMOXICILLIN+METRONIDAZOLE
LANSOPRAZOL+TETRACICLINA+METRONIDAZOL; LANSOPRAZOLE+TETRACYCLINE+METRONIDAZOLE
LANSOPRAZOL+AMOXICILINA+METRONIDAZOL; LANSOPRAZOLE+AMOXICILLIN+METRONIDAZOLE
PANTOPRAZOL+AMOXICILINA+CLARITROMICINA; PANTOPRAZOLE+AMOXICILLIN+CLARITHROMYCIN
OMEPRAZOL+AMOXICILINA+CLARITROMICINA; OMEPRAZOLE+AMOXICILLIN+CLARITHROMYCIN
LANSOPRAZOL+AMOXICILINA+CLARITROMICINA; LANSOPRAZOLE+AMOXICILLIN+CLARITHROMYCIN
