## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/home/astordna/Documentos/Git_proj/Pharmagen/data/processed/Paciente_02/02_alignment/bams/Paciente_02_sorted.bam] OUTPUT=/home/astordna/Documentos/Git_proj/Pharmagen/data/processed/Paciente_02/02_alignment/bams/Paciente_02_dedup.bam METRICS_FILE=/home/astordna/Documentos/Git_proj/Pharmagen/data/processed/Paciente_02/02_alignment/bams/Paciente_02_dedup_metrics.txt REMOVE_DUPLICATES=false VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 18 08:10:04 CET 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1952	1176024	2037	2244	1203	327149	47	0,278463	1700408

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1,000028	669765	0	669787
2.0	1,500809	112295	47	112287
3.0	1,751585	35035	0	35025
4.0	1,877165	14462	0	14458
5.0	1,940051	7034	0	7038
6.0	1,971543	3781	0	3777
7.0	1,987313	2218	0	2219
8.0	1,99521	1325	0	1324
9.0	1,999164	903	0	903
10.0	2,001145	584	0	584
11.0	2,002136	414	0	414
12.0	2,002633	282	0	282
13.0	2,002882	186	0	186
14.0	2,003006	127	0	127
15.0	2,003069	111	0	111
16.0	2,0031	69	0	69
17.0	2,003116	61	0	62
18.0	2,003123	51	0	50
19.0	2,003127	36	0	36
20.0	2,003129	29	0	29
21.0	2,00313	23	0	23
22.0	2,003131	17	0	17
23.0	2,003131	16	0	16
24.0	2,003131	9	0	9
25.0	2,003131	7	0	7
26.0	2,003131	8	0	9
27.0	2,003131	8	0	7
28.0	2,003131	7	0	7
29.0	2,003131	2	0	2
30.0	2,003131	2	0	2
31.0	2,003131	1	0	1
32.0	2,003131	3	0	3
33.0	2,003131	0	0	0
34.0	2,003131	0	0	0
35.0	2,003131	2	0	2
36.0	2,003131	1	0	1
37.0	2,003131	0	0	0
38.0	2,003131	0	0	0
39.0	2,003131	0	0	0
40.0	2,003131	0	0	0
41.0	2,003131	0	0	0
42.0	2,003131	0	0	0
43.0	2,003131	0	0	0
44.0	2,003131	0	0	0
45.0	2,003131	0	0	0
46.0	2,003131	0	0	0
47.0	2,003131	0	0	0
48.0	2,003131	0	0	0
49.0	2,003131	0	0	0
50.0	2,003131	0	0	0
51.0	2,003131	0	0	0
52.0	2,003131	0	0	0
53.0	2,003131	0	0	0
54.0	2,003131	0	0	0
55.0	2,003131	0	0	0
56.0	2,003131	0	0	0
57.0	2,003131	0	0	0
58.0	2,003131	1	0	1
59.0	2,003131	0	0	0
60.0	2,003131	0	0	0
61.0	2,003131	0	0	0
62.0	2,003131	0	0	0
63.0	2,003131	0	0	0
64.0	2,003131	0	0	0
65.0	2,003131	0	0	0
66.0	2,003131	0	0	0
67.0	2,003131	0	0	0
68.0	2,003131	0	0	0
69.0	2,003131	0	0	0
70.0	2,003131	0	0	0
71.0	2,003131	0	0	0
72.0	2,003131	0	0	0
73.0	2,003131	0	0	0
74.0	2,003131	0	0	0
75.0	2,003131	0	0	0
76.0	2,003131	0	0	0
77.0	2,003131	0	0	0
78.0	2,003131	0	0	0
79.0	2,003131	0	0	0
80.0	2,003131	0	0	0
81.0	2,003131	0	0	0
82.0	2,003131	0	0	0
83.0	2,003131	0	0	0
84.0	2,003131	0	0	0
85.0	2,003131	0	0	0
86.0	2,003131	0	0	0
87.0	2,003131	0	0	0
88.0	2,003131	0	0	0
89.0	2,003131	0	0	0
90.0	2,003131	0	0	0
91.0	2,003131	0	0	0
92.0	2,003131	0	0	0
93.0	2,003131	0	0	0
94.0	2,003131	0	0	0
95.0	2,003131	0	0	0
96.0	2,003131	0	0	0
97.0	2,003131	0	0	0
98.0	2,003131	0	0	0
99.0	2,003131	0	0	0
100.0	2,003131	0	0	0

