PharmGKB Accession Id;Drug;ATC Identifiers;Type;Clin_Var_Pathway
PA164712302;2-AMINO-1-PHENYLETHANOL DERIVATIVES;C04AA;Drug Class;0:0:0
PA134967247;2-METHOXYESTRADIOL;;Drug, Biological Intermediate;0:0:1
PA165958321;3,5-DIMETHYL-2-(3-PYRIDYL)THIAZOLIDIN-4-ONE;;Drug;0:0:0
PA165858618;3-AMINOPYRIDINE-2-CARBOXALDEHYDE THIOSEMICARBAZONE;;Drug;0:0:0
PA451993;3-BETA-HYDROXY-5-ANDROSTEN-17-ONE;A14AA07;Drug;0:0:0
PA166123047;3-CYANO-7-ETHOXYCOUMARIN;;Drug;0:2:0
PA166305281;3-HYDROXY DARIFENACIN;;Drug, Metabolite;0:0:0
PA164712303;3-OXOANDROSTEN (4) DERIVATIVES;G03BA;Drug Class;1:8:0
PA166262141;(3R,5R)-FLUVASTATIN;;Drug;0:0:0
PA166262142;(3R,5S)-FLUVASTATIN;;Drug;0:0:0
PA166122786;4,6,4'-TRIMETHYLANGELICIN;;Drug;0:0:0
PA166224244;4''-HYDROXYCANNABIDIOL;;Drug;0:0:1
PA151958637;4-METHYLTHIOAMPHETAMINE;;Drug;0:0:0
PA154081778;4-METHYLUMBELLIFERONE;;Drug;0:0:0
PA164712304;5-ANDROSTANON (3) DERIVATIVES;G03BB;Drug Class;0:0:0
PA166131299;5'-DEOXY-5-FLUOROURIDINE;;Drug, Metabolite;0:3:1
PA151958362;6,7-DIHYDROXYBERGAMOTTIN;;Drug;0:0:0
PA130230922;6-O-PHOSPHORYL INOSINE MONOPHOSPHATE;;Drug;0:0:0
PA152530740;8-CYCLOPENTYL-1,3-DIPROPYLXANTHINE;;Drug;0:0:0
PA164754915;ABARELIX;L02BX01;Drug;0:0:0
PA164747080;ABATACEPT;L04AA24;Drug;0:2:0
PA448006;ABCIXIMAB;B01AC13;Drug;0:1:1
PA166116241;ABEXINOSTAT;;Drug;0:0:0
PA166338841;ABIVERTINIB;;Drug;0:0:0
PA166272921;ABROCITINIB;D11AH08;Drug;0:1:1
PA166198581;ACALABRUTINIB;L01EL02;Drug;0:2:0
PA448010;ACARBOSE;A10BF01;Drug;0:0:0
PA166340542;ACEBILUSTAT;;Drug;0:0:0
PA448011;ACEBUTOLOL;C07AB04;Drug;0:1:0
PA166049185;ACECLOFENAC;;Drug;0:1:0
PA164712305;ACE INHIBITORS AND CALCIUM CHANNEL BLOCKERS;C09BB;Drug Class;0:0:0
