Chemical_ID;Chemical;Entity1_type;Gene_ID;Gene;Entity2_type;LADME
PA166131319;CHLOROACETALDEHYDE;CHEMICAL;PA24692;ALDH1A1;GENE;
PA166115361;SODIUM NITRITE;CHEMICAL;PA27331;CYB5R3;GENE;
PA166115361;SODIUM NITRITE;CHEMICAL;PA28469;G6PD;GENE;
PA164744326;PENTAZOCINE;CHEMICAL;PA267;ABCB1;GENE;
PA449509;ESTROGENS;CHEMICAL;PA159;F5;GENE;
PA449509;ESTROGENS;CHEMICAL;PA343;SULT1A1;GENE;
PA450801;PAROXETINE;CHEMICAL;PA117;COMT;GENE;PD
PA450801;PAROXETINE;CHEMICAL;PA123;CYP2B6;GENE;
PA450801;PAROXETINE;CHEMICAL;PA124;CYP2C19;GENE;
PA450801;PAROXETINE;CHEMICAL;PA126;CYP2C9;GENE;
PA450801;PAROXETINE;CHEMICAL;PA128;CYP2D6;GENE;
PA450801;PAROXETINE;CHEMICAL;PA130;CYP3A4;GENE;
PA450801;PAROXETINE;CHEMICAL;PA131;CYP3A5;GENE;
PA450801;PAROXETINE;CHEMICAL;PA134876345;RPP30;GENE;PD
PA450801;PAROXETINE;CHEMICAL;PA134882361;REEP5;GENE;PD
PA450801;PAROXETINE;CHEMICAL;PA162395090;MDGA2;GENE;PD
PA450801;PAROXETINE;CHEMICAL;PA192;HTR1A;GENE;PD
PA450801;PAROXETINE;CHEMICAL;PA193;HTR2A;GENE;PD
PA450801;PAROXETINE;CHEMICAL;PA194;HTR2C;GENE;
PA450801;PAROXETINE;CHEMICAL;PA24580;ADM;GENE;PD
PA450801;PAROXETINE;CHEMICAL;PA267;ABCB1;GENE;PD
PA450801;PAROXETINE;CHEMICAL;PA27093;CYP1A2;GENE;PD
PA450801;PAROXETINE;CHEMICAL;PA27478;DRD2;GENE;
PA450801;PAROXETINE;CHEMICAL;PA27479;DRD3;GENE;PD
PA450801;PAROXETINE;CHEMICAL;PA28162;FKBP5;GENE;PD
PA450801;PAROXETINE;CHEMICAL;PA28644;GDNF;GENE;PD
PA450801;PAROXETINE;CHEMICAL;PA29549;HTR1B;GENE;
PA450801;PAROXETINE;CHEMICAL;PA29556;HTR3B;GENE;PD
PA450801;PAROXETINE;CHEMICAL;PA29561;HTR7;GENE;PD
PA450801;PAROXETINE;CHEMICAL;PA312;SLC6A4;GENE;PD
PA450801;PAROXETINE;CHEMICAL;PA31891;BDNF;GENE;PD
PA450801;PAROXETINE;CHEMICAL;PA33500;POLG;GENE;
PA450801;PAROXETINE;CHEMICAL;PA35055;HLA-A;GENE;
PA450801;PAROXETINE;CHEMICAL;PA35056;HLA-B;GENE;
PA450801;PAROXETINE;CHEMICAL;PA355;TPH1;GENE;PD
PA450801;PAROXETINE;CHEMICAL;PA36124;SRP19;GENE;PD
PA450801;PAROXETINE;CHEMICAL;PA37179;UGT1A4;GENE;
PA448586;BENZPHETAMINE;CHEMICAL;PA130;CYP3A4;GENE;
PA452610;SPARTEINE;CHEMICAL;PA128;CYP2D6;GENE;
PA449972;IMIQUIMOD;CHEMICAL;PA38008;TLR7;GENE;PD
PA164743977;ARFORMOTEROL;CHEMICAL;PA128;CYP2D6;GENE;
PA164743977;ARFORMOTEROL;CHEMICAL;PA420;UGT1A1;GENE;
PA166163482;BRIGATINIB;CHEMICAL;PA24719;ALK;GENE;
PA165291922;DOXORUBICINOL;CHEMICAL;PA134911502;SLC22A16;GENE;
PA165291922;DOXORUBICINOL;CHEMICAL;PA24674;AKR1A1;GENE;
PA165291922;DOXORUBICINOL;CHEMICAL;PA26121;CBR1;GENE;
PA448866;CEFTRIAXONE;CHEMICAL;PA116;ABCC2;GENE;
PA448866;CEFTRIAXONE;CHEMICAL;PA27331;CYB5R3;GENE;
PA448866;CEFTRIAXONE;CHEMICAL;PA28469;G6PD;GENE;
PA448866;CEFTRIAXONE;CHEMICAL;PA390;ABCG2;GENE;
PA449259;DEXRAZOXANE;CHEMICAL;PA267;ABCB1;GENE;PD
PA451583;TAMSULOSIN;CHEMICAL;PA128;CYP2D6;GENE;
PA451583;TAMSULOSIN;CHEMICAL;PA130;CYP3A4;GENE;
PA451583;TAMSULOSIN;CHEMICAL;PA131;CYP3A5;GENE;
PA451521;SUCCIMER;CHEMICAL;PA28469;G6PD;GENE;
PA164754753;ALGLUCOSIDASE ALFA;CHEMICAL;PA28476;GAA;GENE;
PA166152838;DIMETHYL FUMARATE;CHEMICAL;PA29028;GSTP1;GENE;PD
PA451688;TILUDRONATE;CHEMICAL;PA29808;IL1B;GENE;PD
PA448794;CARBIDOPA;CHEMICAL;PA140;DDC;GENE;
PA448794;CARBIDOPA;CHEMICAL;PA245;MTHFR;GENE;
PA166178554;(S)-METHADONE;CHEMICAL;PA123;CYP2B6;GENE;
PA165860788;EVODIAMINE;CHEMICAL;PA312;SLC6A4;GENE;
PA165981594;ELTROMBOPAG;CHEMICAL;PA159;F5;GENE;
PA165981594;ELTROMBOPAG;CHEMICAL;PA35026;SERPINC1;GENE;
PA165981594;ELTROMBOPAG;CHEMICAL;PA420;UGT1A1;GENE;
PA450521;MINOXIDIL;CHEMICAL;PA343;SULT1A1;GENE;
PA10505;VITAMIN B-COMPLEX, PLAIN;CHEMICAL;PA245;MTHFR;GENE;PD
PA10505;VITAMIN B-COMPLEX, PLAIN;CHEMICAL;PA31277;MTRR;GENE;PD
PA166184711;MEPHEDRONE;CHEMICAL;PA128;CYP2D6;GENE;
PA450128;ISOTRETINOIN;CHEMICAL;PA131;CYP3A5;GENE;
PA164713162;PHENOTHIAZINE DERIVATIVES;CHEMICAL;PA267;ABCB1;GENE;
PA166400081;LEVACETYLLEUCINE;CHEMICAL;PA31698;NPC1;GENE;
PA166400081;LEVACETYLLEUCINE;CHEMICAL;PA31700;NPC2;GENE;
PA449590;FELBAMATE;CHEMICAL;PA124;CYP2C19;GENE;
PA449590;FELBAMATE;CHEMICAL;PA130;CYP3A4;GENE;
PA450125;ISOSORBIDE DINITRATE;CHEMICAL;PA134904907;CYB5R4;GENE;
PA450125;ISOSORBIDE DINITRATE;CHEMICAL;PA134979668;CYB5R1;GENE;
