Disease_ID;Disease;Entity1_type;Gene_ID;Gene;Entity2_type;LADME
PA445553;RHEUMATIC HEART DISEASE;DISEASE;PA126;CYP2C9;GENE;
PA444910;MEMORY IMPAIRMENT;DISEASE;PA136;DBH;GENE;PD
PA443421;ARRHYTHMIAS, CARDIAC;DISEASE;PA116;ABCC2;GENE;PD
PA443421;ARRHYTHMIAS, CARDIAC;DISEASE;PA128;CYP2D6;GENE;PD
PA443421;ARRHYTHMIAS, CARDIAC;DISEASE;PA244;ABCC1;GENE;PD
PA443421;ARRHYTHMIAS, CARDIAC;DISEASE;PA267;ABCB1;GENE;PD
PA166129534;TIME ABOVE THERAPEUTIC RANGE;DISEASE;PA126;CYP2C9;GENE;
PA166129534;TIME ABOVE THERAPEUTIC RANGE;DISEASE;PA133787052;VKORC1;GENE;PD
PA446443;LIVER FAILURE, ACUTE;DISEASE;PA37173;UGT1A;GENE;PD
PA446443;LIVER FAILURE, ACUTE;DISEASE;PA419;UGT1A9;GENE;PD
PA444761;LEUKEMIA, MYELOID;DISEASE;PA98;CDA;GENE;PD
PA444398;HEMATOMA, SUBDURAL;DISEASE;PA126;CYP2C9;GENE;
PA444154;FATTY LIVER;DISEASE;PA36562;TM6SF2;GENE;
PA444552;HYPERTENSION;DISEASE;PA103;CDK6;GENE;
PA444552;HYPERTENSION;DISEASE;PA126;CYP2C9;GENE;
PA444552;HYPERTENSION;DISEASE;PA128;CYP2D6;GENE;
PA444552;HYPERTENSION;DISEASE;PA130;CYP3A4;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA131;CYP3A5;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA134;CYP11B2;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA134890823;PIK3R5;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA134912826;PLEKHH2;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA134915251;TXNDC11;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA134936152;PLEKHJ1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA134936640;ACY3;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA134956867;LRRC15;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA134987118;STN1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA134992686;YEATS4;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA134993717;DOT1L;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA139;ACE;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA142670525;ZMAT4;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA142670837;TANC2;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA142670904;SLC25A31;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA145148124;SH2B3;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA146;DPYS;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA152208656;FTO;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA162375713;ADO;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA162402138;RRP1B;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA162405069;SULT1C3;GENE;PD
