Gene_ID;Gene;Entity1_type;Chemical_ID;Chemical;Entity2_type;LADME
PA142672624;ANKFN1;GENE;PA449899;HYDROCHLOROTHIAZIDE;CHEMICAL;PD
PA31744;NQO1;GENE;PA10804;IMATINIB;CHEMICAL;PD
PA31744;NQO1;GENE;PA128406956;FLUOROURACIL;CHEMICAL;PD
PA31744;NQO1;GENE;PA131285527;OXALIPLATIN;CHEMICAL;PD
PA31744;NQO1;GENE;PA164713176;PLATINUM COMPOUNDS;CHEMICAL;PD
PA31744;NQO1;GENE;PA449014;CISPLATIN;CHEMICAL;
PA31744;NQO1;GENE;PA449165;CYCLOPHOSPHAMIDE;CHEMICAL;PD
PA31744;NQO1;GENE;PA449298;DICUMAROL;CHEMICAL;
PA31744;NQO1;GENE;PA449412;DOXORUBICIN;CHEMICAL;
PA31744;NQO1;GENE;PA449476;EPIRUBICIN;CHEMICAL;PD
PA31744;NQO1;GENE;PA451906;WARFARIN;CHEMICAL;PD
PA31744;NQO1;GENE;PA451991;BENZENE;CHEMICAL;
PA36242;STXBP2;GENE;PA166182763;EMAPALUMAB;CHEMICAL;
PA297;REN;GENE;PA162356187;MURAGLITAZAR;CHEMICAL;PD
PA297;REN;GENE;PA451899;VITAMIN D AND ANALOGUES;CHEMICAL;
PA134890284;INSIG2;GENE;PA452233;ANTIPSYCHOTICS;CHEMICAL;PD
PA98;CDA;GENE;PA166131569;DIFLUORODEOXYURIDINE;CHEMICAL;
PA98;CDA;GENE;PA448771;CAPECITABINE;CHEMICAL;PD
PA98;CDA;GENE;PA449177;CYTARABINE;CHEMICAL;PD
PA98;CDA;GENE;PA449748;GEMCITABINE;CHEMICAL;PD
PA98;CDA;GENE;PA450761;PACLITAXEL;CHEMICAL;PD
PA98;CDA;GENE;PA451996;AZACITIDINE;CHEMICAL;
PA26873;CRHBP;GENE;PA448073;ETHANOL;CHEMICAL;PD
PA26971;CSRP3;GENE;PA164713366;TUMOR NECROSIS FACTOR ALPHA (TNF-ALPHA) INHIBITORS;CHEMICAL;PD
PA26503;CHST3;GENE;PA449383;DOCETAXEL;CHEMICAL;PD
PA26503;CHST3;GENE;PA451644;THALIDOMIDE;CHEMICAL;PD
PA113;CHRNA3;GENE;PA164712720;DRUGS USED IN NICOTINE DEPENDENCE;CHEMICAL;PD
PA113;CHRNA3;GENE;PA164712950;OPIUM ALKALOIDS AND DERIVATIVES;CHEMICAL;PD
PA113;CHRNA3;GENE;PA164776637;ECULIZUMAB;CHEMICAL;
PA113;CHRNA3;GENE;PA166114414;COTININE;CHEMICAL;
PA113;CHRNA3;GENE;PA166268781;EFGARTIGIMOD ALFA;CHEMICAL;
PA113;CHRNA3;GENE;PA166277861;RAVULIZUMAB;CHEMICAL;
PA113;CHRNA3;GENE;PA166313325;ROZANOLIXIZUMAB;CHEMICAL;
PA113;CHRNA3;GENE;PA166328901;ZILUCOPLAN;CHEMICAL;
PA113;CHRNA3;GENE;PA448073;ETHANOL;CHEMICAL;
PA113;CHRNA3;GENE;PA449072;COCAINE;CHEMICAL;PD
PA113;CHRNA3;GENE;PA450626;NICOTINE;CHEMICAL;PD
PA133787052;VKORC1;GENE;PA165980614;FLUINDIONE;CHEMICAL;PD
PA133787052;VKORC1;GENE;PA450921;PHENPROCOUMON;CHEMICAL;PD
PA133787052;VKORC1;GENE;PA451906;WARFARIN;CHEMICAL;PD
PA133787052;VKORC1;GENE;PA452632;ACENOCOUMAROL;CHEMICAL;PD
PA31459;NCAM1;GENE;PA10066;DULOXETINE;CHEMICAL;PD
PA29920;IRF6;GENE;PA450037;INTERFERON BETA-1A;CHEMICAL;PD
PA29920;IRF6;GENE;PA450039;INTERFERON BETA-1B;CHEMICAL;PD
PA36167;ST13;GENE;PA10832;CORTICOSTEROIDS;CHEMICAL;PD
PA37466;ZMPSTE24;GENE;PA166129466;LONAFARNIB;CHEMICAL;
PA27844;ERBB2;GENE;PA131301952;GEFITINIB;CHEMICAL;
PA27844;ERBB2;GENE;PA134687924;ERLOTINIB;CHEMICAL;
PA27844;ERBB2;GENE;PA152241907;LAPATINIB;CHEMICAL;
PA27844;ERBB2;GENE;PA164746311;EVEROLIMUS;CHEMICAL;
PA27844;ERBB2;GENE;PA164747170;FULVESTRANT;CHEMICAL;
PA27844;ERBB2;GENE;PA164920420;OLAPARIB;CHEMICAL;
PA27844;ERBB2;GENE;PA165110439;IXABEPILONE;CHEMICAL;
PA27844;ERBB2;GENE;PA165290933;PERTUZUMAB;CHEMICAL;
PA27844;ERBB2;GENE;PA165291472;NERATINIB;CHEMICAL;
PA27844;ERBB2;GENE;PA165958441;TRASTUZUMAB EMTANSINE;CHEMICAL;
PA27844;ERBB2;GENE;PA166124615;PEMBROLIZUMAB;CHEMICAL;
PA27844;ERBB2;GENE;PA166129522;NIVOLUMAB;CHEMICAL;
PA27844;ERBB2;GENE;PA166153469;PALBOCICLIB;CHEMICAL;
PA27844;ERBB2;GENE;PA166153470;RIBOCICLIB;CHEMICAL;
PA27844;ERBB2;GENE;PA166153471;ABEMACICLIB;CHEMICAL;
PA27844;ERBB2;GENE;PA166182723;ERIBULIN;CHEMICAL;
PA27844;ERBB2;GENE;PA166182740;TALAZOPARIB;CHEMICAL;
PA27844;ERBB2;GENE;PA166184523;ALPELISIB;CHEMICAL;
PA27844;ERBB2;GENE;PA166184566;TIPIRACIL / TRIFLURIDINE;CHEMICAL;
