Gene_ID;Gene;Entity1_type;Disease_ID;Disease;Entity2_type;LADME
PA142672624;ANKFN1;GENE;PA447288;ESSENTIAL HYPERTENSION;DISEASE;PD
PA31744;NQO1;GENE;PA151958383;GASTROINTESTINAL STROMAL TUMORS;DISEASE;PD
PA31744;NQO1;GENE;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA31744;NQO1;GENE;PA444417;HEMORRHAGE;DISEASE;PD
PA31744;NQO1;GENE;PA444750;LEUKEMIA;DISEASE;
PA31744;NQO1;GENE;PA444818;LUNG NEOPLASMS;DISEASE;
PA31744;NQO1;GENE;PA445058;METASTATIC NEOPLASM;DISEASE;PD
PA31744;NQO1;GENE;PA445062;NEOPLASMS;DISEASE;PD
PA31744;NQO1;GENE;PA445742;STOMACH NEOPLASMS;DISEASE;PD
PA31744;NQO1;GENE;PA445850;THROMBOTIC DISEASE;DISEASE;PD
PA297;REN;GENE;PA443886;DIABETES MELLITUS;DISEASE;PD
PA297;REN;GENE;PA443994;EDEMA;DISEASE;PD
PA297;REN;GENE;PA444528;HYPERLIPIDEMIAS;DISEASE;PD
PA134890284;INSIG2;GENE;PA162370415;METABOLIC SYNDROME;DISEASE;
PA134890284;INSIG2;GENE;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA98;CDA;GENE;PA166114377;HAND-FOOT SYNDROME;DISEASE;PD
PA98;CDA;GENE;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA98;CDA;GENE;PA443937;DRUG TOXICITY;DISEASE;
PA98;CDA;GENE;PA444511;HYPERBILIRUBINEMIA;DISEASE;PD
PA98;CDA;GENE;PA444750;LEUKEMIA;DISEASE;PD
PA98;CDA;GENE;PA444760;LEUKEMIA, MYELOID, ACUTE;DISEASE;PD
PA98;CDA;GENE;PA444761;LEUKEMIA, MYELOID;DISEASE;PD
PA98;CDA;GENE;PA444840;LYMPHOMA;DISEASE;PD
PA98;CDA;GENE;PA444937;MESOTHELIOMA;DISEASE;PD
PA98;CDA;GENE;PA445048;NAUSEA;DISEASE;PD
PA98;CDA;GENE;PA445062;NEOPLASMS;DISEASE;PD
PA98;CDA;GENE;PA445113;NEUTROPENIA;DISEASE;PD
PA98;CDA;GENE;PA445218;PANCREATIC NEOPLASMS;DISEASE;PD
PA98;CDA;GENE;PA446309;LYMPHOMA, T-CELL;DISEASE;
PA26873;CRHBP;GENE;PA443309;ALCOHOL ABUSE;DISEASE;PD
PA26971;CSRP3;GENE;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA26503;CHST3;GENE;PA445425;PROSTATIC NEOPLASMS;DISEASE;PD
PA113;CHRNA3;GENE;PA166048714;PREGNANCY;DISEASE;
PA113;CHRNA3;GENE;PA443309;ALCOHOL ABUSE;DISEASE;
PA113;CHRNA3;GENE;PA445208;PAIN;DISEASE;PD
PA113;CHRNA3;GENE;PA445876;TOBACCO USE DISORDER;DISEASE;PD
PA113;CHRNA3;GENE;PA446878;COCAINE DEPENDENCE;DISEASE;PD
PA133787052;VKORC1;GENE;PA166123298;OVER-ANTICOAGULATION;DISEASE;PD
PA133787052;VKORC1;GENE;PA166129531;TIME IN THERAPEUTIC RANGE;DISEASE;PD
PA133787052;VKORC1;GENE;PA166129532;TIME TO THERAPEUTIC INR;DISEASE;PD
PA133787052;VKORC1;GENE;PA166129534;TIME ABOVE THERAPEUTIC RANGE;DISEASE;PD
PA133787052;VKORC1;GENE;PA443459;ATRIAL FIBRILLATION;DISEASE;
PA133787052;VKORC1;GENE;PA444368;HEART DISEASES;DISEASE;
PA133787052;VKORC1;GENE;PA444417;HEMORRHAGE;DISEASE;PD
PA133787052;VKORC1;GENE;PA445848;THROMBOEMBOLISM;DISEASE;PD
PA133787052;VKORC1;GENE;PA446021;VASCULAR DISEASES;DISEASE;
PA133787052;VKORC1;GENE;PA446900;COAGULATION PROTEIN DISORDERS;DISEASE;
PA31459;NCAM1;GENE;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA29920;IRF6;GENE;PA166119041;DRUG-INDUCED LIVER INJURY;DISEASE;PD
PA29920;IRF6;GENE;PA444987;MULTIPLE SCLEROSIS;DISEASE;PD
PA36577;TMPRSS2;GENE;PA445425;PROSTATIC NEOPLASMS;DISEASE;
PA36167;ST13;GENE;PA443450;ASTHMA;DISEASE;PD
PA27844;ERBB2;GENE;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA27844;ERBB2;GENE;PA443937;DRUG TOXICITY;DISEASE;PD
PA116;ABCC2;GENE;PA133888799;ORGAN TRANSPLANTATION;DISEASE;
PA116;ABCC2;GENE;PA151958383;GASTROINTESTINAL STROMAL TUMORS;DISEASE;PD
PA116;ABCC2;GENE;PA164925725;TOXIC LIVER DISEASE;DISEASE;PD
PA116;ABCC2;GENE;PA165817016;KIDNEY TRANSPLANTATION;DISEASE;
PA116;ABCC2;GENE;PA166122058;MUCOSITIS;DISEASE;PD
PA116;ABCC2;GENE;PA166307601;DUBIN-JOHNSON SYNDROME;DISEASE;
PA116;ABCC2;GENE;PA443421;CARDIAC RHYTHM DISEASE;DISEASE;PD
PA116;ABCC2;GENE;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA116;ABCC2;GENE;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA116;ABCC2;GENE;PA443580;BURKITT LYMPHOMA;DISEASE;PD
PA116;ABCC2;GENE;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA116;ABCC2;GENE;PA443658;CENTRAL NERVOUS SYSTEM INFECTIOUS DISORDER;DISEASE;
PA116;ABCC2;GENE;PA443756;COLONIC NEOPLASMS;DISEASE;PD
PA116;ABCC2;GENE;PA443937;DRUG TOXICITY;DISEASE;PD
PA116;ABCC2;GENE;PA444065;EPILEPSY;DISEASE;PD
PA116;ABCC2;GENE;PA444109;EXANTHEMA;DISEASE;PD
PA116;ABCC2;GENE;PA444145;FANCONI RENOTUBULAR SYNDROME;DISEASE;PD
PA116;ABCC2;GENE;PA444516;HYPERCHOLESTEROLEMIA;DISEASE;PD
PA116;ABCC2;GENE;PA444682;KIDNEY DISORDER;DISEASE;PD
PA116;ABCC2;GENE;PA444750;LEUKEMIA;DISEASE;PD
PA116;ABCC2;GENE;PA444756;LYMPHOID LEUKEMIA;DISEASE;
PA116;ABCC2;GENE;PA444773;LEUKOPENIA;DISEASE;PD
PA116;ABCC2;GENE;PA444840;LYMPHOMA;DISEASE;PD
PA116;ABCC2;GENE;PA444845;NON-HODGKIN LYMPHOMA;DISEASE;PD
PA116;ABCC2;GENE;PA444937;MESOTHELIOMA;DISEASE;PD
PA116;ABCC2;GENE;PA445601;OSTEOSARCOMA;DISEASE;PD
PA116;ABCC2;GENE;PA445941;TUBERCULOSIS;DISEASE;PD
PA116;ABCC2;GENE;PA446108;COLORECTAL NEOPLASMS;DISEASE;PD
PA116;ABCC2;GENE;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;PD
PA116;ABCC2;GENE;PA446432;BETA-THALASSEMIA AND RELATED DISEASES;DISEASE;PD
PA116;ABCC2;GENE;PA447230;HIV INFECTIOUS DISEASE;DISEASE;PD
PA25923;TSBP1;GENE;PA444589;HYPOTHYROIDISM;DISEASE;
PA24598;ADRB3;GENE;PA128406954;WEIGHT GAIN;DISEASE;PD
PA24598;ADRB3;GENE;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA162375713;ADO;GENE;PA444552;HYPERTENSION;DISEASE;PD
PA128747823;TPH2;GENE;PA444460;HEROIN DEPENDENCE;DISEASE;PD
PA128747823;TPH2;GENE;PA447207;DEPRESSIVE DISORDER;DISEASE;PD
PA128747823;TPH2;GENE;PA447278;DEPRESSION;DISEASE;PD
PA128747823;TPH2;GENE;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA162384422;EFR3A;GENE;PA165108401;ACUTE CORONARY SYNDROME;DISEASE;PD
PA162384422;EFR3A;GENE;PA166129560;MAJOR ADVERSE CARDIAC EVENTS (MACE);DISEASE;PD
PA28682;GIPR;GENE;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA24702;ALDH5A1;GENE;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA227;LDLR;GENE;PA166114942;FAMILIAL HYPERCHOLESTEROLEMIA;DISEASE;
PA227;LDLR;GENE;PA443797;CORONARY DISEASE;DISEASE;
PA227;LDLR;GENE;PA444552;HYPERTENSION;DISEASE;PD
PA227;LDLR;GENE;PA446021;VASCULAR DISEASES;DISEASE;PD
PA227;LDLR;GENE;PA446863;CHRONIC HEPATITIS C VIRUS INFECTION;DISEASE;PD
PA227;LDLR;GENE;PA447230;HIV INFECTIOUS DISEASE;DISEASE;PD
PA33287;PICALM;GENE;PA444552;HYPERTENSION;DISEASE;PD
PA142670872;SPSB2;GENE;PA447197;ATTENTION DEFICIT DISORDER WITH HYPERACTIVITY;DISEASE;PD
PA376;ABCC3;GENE;PA162263534;OTOTOXICITY;DISEASE;PD
PA376;ABCC3;GENE;PA443937;DRUG TOXICITY;DISEASE;PD
PA376;ABCC3;GENE;PA445062;NEOPLASMS;DISEASE;PD
PA376;ABCC3;GENE;PA445208;PAIN;DISEASE;
PA376;ABCC3;GENE;PA445601;OSTEOSARCOMA;DISEASE;PD
PA376;ABCC3;GENE;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;PD
PA142671740;GHRL;GENE;PA128406954;WEIGHT GAIN;DISEASE;
PA33532;POR;GENE;PA134850491;TRANSPLANTATION;DISEASE;
PA33532;POR;GENE;PA151958383;GASTROINTESTINAL STROMAL TUMORS;DISEASE;PD
PA33532;POR;GENE;PA165817016;KIDNEY TRANSPLANTATION;DISEASE;PD
