Gene_ID;Gene;Entity1_type;Gene_ID.1;Gene.1;Entity2_type;LADME
PA30932;MRAS;GENE;PA24928;ARAF;GENE;
PA30932;MRAS;GENE;PA25408;BRAF;GENE;
PA30932;MRAS;GENE;PA30592;MAP3K1;GENE;
PA30932;MRAS;GENE;PA34183;RAF1;GENE;
PA30932;MRAS;GENE;PA7360;EGFR;GENE;
PA27844;ERBB2;GENE;PA29988;JAK1;GENE;
PA27844;ERBB2;GENE;PA33308;PIK3CA;GENE;
PA27844;ERBB2;GENE;PA33309;PIK3CB;GENE;
PA27844;ERBB2;GENE;PA33310;PIK3CD;GENE;
PA27844;ERBB2;GENE;PA33311;PIK3CG;GENE;
PA27844;ERBB2;GENE;PA33312;PIK3R1;GENE;
PA27844;ERBB2;GENE;PA33313;PIK3R2;GENE;
PA27844;ERBB2;GENE;PA33314;PIK3R3;GENE;
PA27844;ERBB2;GENE;PA33392;PLCG1;GENE;
PA27844;ERBB2;GENE;PA33393;PLCG2;GENE;
PA116;ABCC2;GENE;PA378;NR1I2;GENE;
PA172;GNAI1;GENE;PA134971947;P2RY12;GENE;
PA172;GNAI1;GENE;PA164741137;ADCY3;GENE;
PA172;GNAI1;GENE;PA192;HTR1A;GENE;
PA172;GNAI1;GENE;PA24560;ADCY1;GENE;
PA172;GNAI1;GENE;PA24561;ADCY2;GENE;
PA172;GNAI1;GENE;PA24562;ADCY4;GENE;
PA172;GNAI1;GENE;PA24563;ADCY5;GENE;
PA172;GNAI1;GENE;PA27;ADCY6;GENE;
PA172;GNAI1;GENE;PA28;ADCY7;GENE;
PA172;GNAI1;GENE;PA29;ADCY8;GENE;
PA172;GNAI1;GENE;PA29549;HTR1B;GENE;
PA172;GNAI1;GENE;PA29550;HTR1D;GENE;
PA172;GNAI1;GENE;PA29552;HTR1E;GENE;
PA172;GNAI1;GENE;PA29553;HTR1F;GENE;
PA172;GNAI1;GENE;PA30;ADCY9;GENE;
PA172;GNAI1;GENE;PA34361;RGS1;GENE;
PA172;GNAI1;GENE;PA39;ADRB2;GENE;
PA24563;ADCY5;GENE;PA172;GNAI1;GENE;
PA24563;ADCY5;GENE;PA173;GNAI3;GENE;
PA24563;ADCY5;GENE;PA175;GNAS;GENE;
PA24563;ADCY5;GENE;PA24347;GNAI2;GENE;
PA31781;NRL;GENE;PA283;MAPK8;GENE;
PA31781;NRL;GENE;PA30621;MAPK14;GENE;
PA24421;ACACA;GENE;PA33744;PRKAA1;GENE;
PA24421;ACACA;GENE;PA33745;PRKAA2;GENE;
PA24421;ACACA;GENE;PA33746;PRKAB1;GENE;
PA24421;ACACA;GENE;PA33747;PRKAB2;GENE;
PA24421;ACACA;GENE;PA33751;PRKAG1;GENE;
PA24421;ACACA;GENE;PA33752;PRKAG2;GENE;
PA24421;ACACA;GENE;PA33753;PRKAG3;GENE;
PA28777;GNB1L;GENE;PA33384;PLCB1;GENE;
PA28777;GNB1L;GENE;PA33385;PLCB2;GENE;
PA28777;GNB1L;GENE;PA33386;PLCB3;GENE;
PA28777;GNB1L;GENE;PA33387;PLCB4;GENE;
PA55;APOE;GENE;PA164742099;MTTP;GENE;
PA397;ABCC4;GENE;PA31712;NPM1;GENE;
PA24887;APOA4;GENE;PA273;PLTP;GENE;
PA378;NR1I2;GENE;PA116;ABCC2;GENE;
PA378;NR1I2;GENE;PA123;CYP2B6;GENE;
PA378;NR1I2;GENE;PA125;CYP2C8;GENE;
PA378;NR1I2;GENE;PA130;CYP3A4;GENE;
PA378;NR1I2;GENE;PA244;ABCC1;GENE;
PA378;NR1I2;GENE;PA267;ABCB1;GENE;
PA378;NR1I2;GENE;PA390;ABCG2;GENE;
PA287;PTGER2;GENE;PA175;GNAS;GENE;
PA53;APOC3;GENE;PA164742099;MTTP;GENE;
PA33558;PPARGC1A;GENE;PA37935;SIRT1;GENE;
PA30128;KIT;GENE;PA29391;HOXB4;GENE;
PA30128;KIT;GENE;PA29444;HRAS;GENE;
PA30128;KIT;GENE;PA30196;KRAS;GENE;
PA30128;KIT;GENE;PA31768;NRAS;GENE;
PA30128;KIT;GENE;PA33147;PDGFRA;GENE;
PA29349;HNF4A;GENE;PA24684;AKT1;GENE;
PA33386;PLCB3;GENE;PA134864200;GNB4;GENE;
PA33386;PLCB3;GENE;PA174;GNAQ;GENE;
PA33386;PLCB3;GENE;PA176;GNB3;GENE;
PA33386;PLCB3;GENE;PA26097;CASR;GENE;
PA33386;PLCB3;GENE;PA28776;GNB1;GENE;
PA33386;PLCB3;GENE;PA28777;GNB1L;GENE;
PA33386;PLCB3;GENE;PA28778;GNB2;GENE;
PA33386;PLCB3;GENE;PA28784;GNG2;GENE;
PA33386;PLCB3;GENE;PA28785;GNG3;GENE;
PA33386;PLCB3;GENE;PA28786;GNG4;GENE;
PA33386;PLCB3;GENE;PA28787;GNG5;GENE;
