Effect_subcat;Entity_Affected
;OTHER:DIABETES_MELLITUS_T2
;
;OTHER:DIABETES_MELLITUS_T2
;OTHER:DIABETES_MELLITUS_T2
;DISEASE:HIV_INFECTIOUS_DISEASE
;OTHER:DIABETES_MELLITUS_T2
;OTHER:DIABETES_MELLITUS_T2
;OTHER:DIABETES_MELLITUS_T2
;DISEASE:CYSTIC_FIBROSIS
;OTHER:MAJOR_DEPRESSIVE_DISORDER
;OTHER:MAJOR_DEPRESSIVE_DISORDER
;OTHER:DIABETES_MELLITUS_T2
;OTHER:DIABETES_MELLITUS_T2
;OTHER:MAJOR_DEPRESSIVE_DISORDER
;OTHER:DIABETES_MELLITUS_T2
;OTHER:DIABETES_MELLITUS_T2
;OTHER:HISTORY_OF_GASTRIC_BYPASS_SURGERY
;OTHER:DIABETES_MELLITUS_T2
;DISEASE:CARDIAC_RHYTHM_DISEASE
;DISEASE:CARDIAC_RHYTHM_DISEASE
;OTHER:DIABETES_MELLITUS_T2
;OTHER:OPIOID-RELATED_DISORDERS
;OTHER:NEOPLASMS
;OTHER:LIVER_TRANSPLANTATION
;OTHER:DIABETES_MELLITUS_T2
;DISEASE:SEVERE_CUTANEOUS_ADVERSE_REACTIONS
;OTHER:DIABETES_MELLITUS_T2
;DISEASE:OSTEOPOROSIS
;DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
;DISEASE:HEPATITIS_C_VIRUS_INFECTION, DISEASE:HIV_INFECTIOUS_DISEASE
;
;
;
;OTHER:NEOPLASMS
;OTHER:NEOPLASMS
;OTHER:RHEUMATOID_ARTHRITIS
;
;DISEASE:COLORECTAL_NEOPLASMS
;
;
;OTHER:EPILEPSY
;OTHER:EPILEPSY
;
;
;
;
;
;
;OTHER:NEOPLASMS
;DISEASE:NEOPLASMS
;OTHER:NEOPLASMS
;OTHER:ANGINA_PECTORIS
;
;
;
;
;
;OTHER:DIABETES_MELLITUS_T2, OTHER:OBESITY
;
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:LIVER_CIRRHOSIS
;
;
;OTHER:CARDIOVASCULAR_DISEASE, OTHER:DYSLIPIDAEMIA
;
;OTHER:CARDIOVASCULAR_DISEASE, OTHER:DYSLIPIDAEMIA
;
;OTHER:STROKE
;OTHER:STROKE
;OTHER:COLONIC_NEOPLASMS
;
;OTHER:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
;OTHER:TUBERCULOSIS
;OTHER:METHAMPHETAMINE_DEPENDENCE
;OTHER:TUBERCULOSIS
;OTHER:HYPERTENSION
;
;OTHER:ALCOHOL_ABUSE
;
;DISEASE:CYSTIC_FIBROSIS
;OTHER:CYSTIC_FIBROSIS
;
;OTHER:POSTOPERATIVE_PAIN
;OTHER:THROMBOEMBOLISM
;OTHER:POSTOPERATIVE_PAIN
;OTHER:LIVER_TRANSPLANTATION
