Input Name	PubChem Name	CID	Molecular Formula	Molecular Weight	SMILES_code	SMILES_connectivity	Status	Notes	Name	Type	ID	Mol_Weight	LogP	sID
(r)-methadone	(6R)-6-(dimethylamino)-4,4-diphenylheptan-3-one	22267.0	C21H27NO	309.4	CCC(=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2	CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2	Found in Compounds							
(s)-methadone	(6S)-6-(dimethylamino)-4,4-diphenylheptan-3-one	643985.0	C21H27NO	309.4	CCC(=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2	CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2	Found in Compounds							
1,7-Dimethylxanthine	1,7-dimethyl-3H-purine-2,6-dione	4687.0	C7H8N4O2	180.16	CN1C=NC2=C1C(=O)N(C(=O)N2)C	CN1C=NC2=C1C(=O)N(C(=O)N2)C	Found in Compounds	Auto-corrected from 1-7-dimethylxanthine						
1-hydroxymidazolam	[8-chloro-6-(2-fluorophenyl)-4H-imidazo[1,5-a][1,4]benzodiazepin-1-yl]methanol	107917.0	C18H13ClFN3O	341.8	C1C2=CN=C(N2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4F)CO	C1C2=CN=C(N2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4F)CO	Found in Compounds							
10-monohydroxy oxcarbazepine	5,6-dihydroxybenzo[b][1]benzazepine-11-carboxamide	10061548.0	C15H12N2O3	268.27	C1=CC=C2C(=C1)C(=C(C3=CC=CC=C3N2C(=O)N)O)O	C1=CC=C2C(=C1)C(=C(C3=CC=CC=C3N2C(=O)N)O)O	Found in Subs							
11a-hydroxyprogesterone	(8S,9S,10R,11R,13S,14S)-17-acetyl-11-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one	440105.0	C21H30O3	330.5	CC(=O)C1CC[C@@H]2[C@@]1(C[C@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C	CC(=O)C1CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C	Found in Compounds							
11alpha-hydroxytestosterone	(8S,9S,10R,11R,13S,14S,17S)-11,17-dihydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one	11954152.0	C19H28O3	304.4	C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@@H](C[C@]4([C@H]3CC[C@@H]4O)C)O	CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4O)C)O	Found in Compounds							
16alpha-hydroxyprogesterone	(8S,9S,10R,13S,14S,16R,17R)-17-acetyl-16-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one	243761.0	C21H30O3	330.5	CC(=O)[C@H]1[C@@H](C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O	CC(=O)C1C(CC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O	Found in Compounds							
16alpha-hydroxytestosterone	(8R,9S,10R,13S,14S,16R,17R)-16,17-dihydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one	65545.0	C19H28O3	304.4	C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3C[C@H]([C@@H]4O)O)C	CC12CCC(=O)C=C1CCC3C2CCC4(C3CC(C4O)O)C	Found in Compounds							
17beta-estradiol glucuronide	(2S,3S,4S,5R,6R)-3,4,5-trihydroxy-6-[[(13S,17S)-3-hydroxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl]oxy]oxane-2-carboxylic acid	66424.0	C24H32O8	448.5	C[C@]12CCC3C(C1CC[C@@H]2O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)CCC5=C3C=CC(=C5)O	CC12CCC3C(C1CCC2OC4C(C(C(C(O4)C(=O)O)O)O)O)CCC5=C3C=CC(=C5)O	Found in Compounds							
2-aminoheptanoate	(2S)-2-aminoheptanoic acid	5312965.0	C7H15NO2	145.2	CCCCC[C@@H](C(=O)O)N	CCCCCC(C(=O)O)N	Found in Compounds							
2-aminooctanoic acid	2-aminooctanoic acid	69522.0	C8H17NO2	159.23	CCCCCCC(C(=O)O)N	CCCCCCC(C(=O)O)N	Found in Compounds							
2-hydroxyatorvastatin	(3S,5S)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-2,3,5-trihydroxyheptanoic acid	129734920.0	C33H35FN2O6	574.6	CC(C)C1=C(C(=C(N1CC[C@@H](C[C@@H](C(C(=O)O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4	CC(C)C1=C(C(=C(N1CCC(CC(C(C(=O)O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4	Found in Compounds							
O-HYDROXYATORVASTATIN LACTONE	5-(4-fluorophenyl)-1-[2-[(2R,4R)-4-hydroxy-6-oxooxan-2-yl]ethyl]-N-(2-hydroxyphenyl)-4-phenyl-2-propan-2-ylpyrrole-3-carboxamide	10650434.0	C33H33FN2O5	556.6	CC(C)C1=C(C(=C(N1CC[C@@H]2C[C@H](CC(=O)O2)O)C3=CC=C(C=C3)F)C4=CC=CC=C4)C(=O)NC5=CC=CC=C5O	CC(C)C1=C(C(=C(N1CCC2CC(CC(=O)O2)O)C3=CC=C(C=C3)F)C4=CC=CC=C4)C(=O)NC5=CC=CC=C5O	Found in Compounds	Auto-corrected from 2-hydroxyatorvastatin lactone						
2-hydroxylaurate	2-hydroxydodecanoate	21981466.0	C12H23O3-	215.31	CCCCCCCCCCC(C(=O)[O-])O	CCCCCCCCCCC(C(=O)[O-])O	Found in Compounds							
2-hydroxymethyl olanzapine	[4-(4-methylpiperazin-1-yl)-10H-thieno[2,3-b][1,5]benzodiazepin-2-yl]methanol	135515431.0	C17H20N4OS	328.4	CN1CCN(CC1)C2=NC3=CC=CC=C3NC4=C2C=C(S4)CO	CN1CCN(CC1)C2=NC3=CC=CC=C3NC4=C2C=C(S4)CO	Found in Compounds							
2-oxo-clopidogrel	methyl (2S)-2-(2-chlorophenyl)-2-(2-oxo-4,6,7,7a-tetrahydrothieno[3,2-c]pyridin-5-yl)acetate	56848893.0	C16H16ClNO3S	337.8	COC(=O)[C@H](C1=CC=CC=C1Cl)N2CCC3C(=CC(=O)S3)C2	COC(=O)C(C1=CC=CC=C1Cl)N2CCC3C(=CC(=O)S3)C2	Found in Compounds							
							Not Found		3	Unknown				
3,4-methylenedioxymethamphetamine	1-(1,3-benzodioxol-5-yl)-N-methylpropan-2-amine	1615.0	C11H15NO2	193.24	CC(CC1=CC2=C(C=C1)OCO2)NC	CC(CC1=CC2=C(C=C1)OCO2)NC	Found in Compounds	Auto-corrected from 3-4-methylenedioxymethamphetamine						
3-aminoisobutyrate	3-amino-2-methylpropanoate	18998026.0	C4H8NO2-	102.11	CC(CN)C(=O)[O-]	CC(CN)C(=O)[O-]	Found in Compounds							
3-aminopyridine-2-carboxaldehyde thiosemicarbazone	[(E)-(3-amino-2-pyridinyl)methylideneamino]thiourea	9571836.0	C7H9N5S	195.25	C1=CC(=C(N=C1)/C=N/NC(=S)N)N	C1=CC(=C(N=C1)C=NNC(=S)N)N	Found in Compounds							
3-cyano-7-ethoxycoumarin	7-ethoxy-2-oxochromene-3-carbonitrile	164045.0	C12H9NO3	215.2	CCOC1=CC2=C(C=C1)C=C(C(=O)O2)C#N	CCOC1=CC2=C(C=C1)C=C(C(=O)O2)C#N	Found in Compounds							
3-hydroxycotinine	(5S)-3-hydroxy-1-methyl-5-pyridin-3-ylpyrrolidin-2-one	10219774.0	C10H12N2O2	192.21	CN1[C@@H](CC(C1=O)O)C2=CN=CC=C2	CN1C(CC(C1=O)O)C2=CN=CC=C2	Found in Compounds							
3-hydroxycotinine glucuronide	(2S,3S,4S,5R,6R)-3,4,5-trihydroxy-6-[(3R,5S)-1-methyl-2-oxo-5-pyridin-3-ylpyrrolidin-3-yl]oxyoxane-2-carboxylic acid	183115.0	C16H20N2O8	368.34	CN1[C@@H](C[C@H](C1=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O)C3=CN=CC=C3	CN1C(CC(C1=O)OC2C(C(C(C(O2)C(=O)O)O)O)O)C3=CN=CC=C3	Found in Compounds							
3,4-Dehydrocilostazol	6-[4-(1-cyclohexyltetrazol-5-yl)butoxy]-1H-quinolin-2-one	10021885.0	C20H25N5O2	367.4	C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)C=C4	C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)C=C4	Found in Compounds	Auto-corrected from 4-dehydrocilostazol						
4-ene valproic acid	2-propylpent-4-enoic acid	104896.0	C8H14O2	142.2	CCCC(CC=C)C(=O)O	CCCC(CC=C)C(=O)O	Found in Compounds							
4-hydroxyatorvastatin	(3R,5S)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,4,5-trihydroxyheptanoic acid	129849098.0	C33H35FN2O6	574.6	CC(C)C1=C(C(=C(N1CC[C@@H](C([C@@H](CC(=O)O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4	CC(C)C1=C(C(=C(N1CCC(C(C(CC(=O)O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4	Found in Compounds							
O-HYDROXYATORVASTATIN LACTONE	5-(4-fluorophenyl)-1-[2-[(2R,4R)-4-hydroxy-6-oxooxan-2-yl]ethyl]-N-(2-hydroxyphenyl)-4-phenyl-2-propan-2-ylpyrrole-3-carboxamide	10650434.0	C33H33FN2O5	556.6	CC(C)C1=C(C(=C(N1CC[C@@H]2C[C@H](CC(=O)O2)O)C3=CC=C(C=C3)F)C4=CC=CC=C4)C(=O)NC5=CC=CC=C5O	CC(C)C1=C(C(=C(N1CCC2CC(CC(=O)O2)O)C3=CC=C(C=C3)F)C4=CC=CC=C4)C(=O)NC5=CC=CC=C5O	Found in Compounds	Auto-corrected from 4-hydroxyatorvastatin lactone						
4-hydroxycyclophosphamide	2-[bis(2-chloroethyl)amino]-2-oxo-1,3,2lambda5-oxazaphosphinan-4-ol	99735.0	C7H15Cl2N2O3P	277.08	C1COP(=O)(NC1O)N(CCCl)CCCl	C1COP(=O)(NC1O)N(CCCl)CCCl	Found in Compounds							
4-hydroxyestradiol	(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,4,17-triol	5282360.0	C18H24O3	288.4	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4O)O	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4O)O	Found in Compounds							
4-hydroxytamoxifen	4-[(Z)-1-[4-[2-(dimethylamino)ethoxy]phenyl]-2-phenylbut-1-enyl]phenol	449459.0	C26H29NO2	387.5	CC/C(=C(\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3	CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3	Found in Compounds							
4-Hydroxytamoxifen	4-[(Z)-1-[4-[2-(dimethylamino)ethoxy]phenyl]-2-phenylbut-1-enyl]phenol	449459.0	C26H29NO2	387.5	CC/C(=C(\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3	CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3	Found in Compounds	Auto-corrected from 4-hydroxytamoxifen(tamoxifen)						
3,4-methylenedioxymethamphetamine	1-(1,3-benzodioxol-5-yl)-N-methylpropan-2-amine	1615.0	C11H15NO2	193.24	CC(CC1=CC2=C(C=C1)OCO2)NC	CC(CC1=CC2=C(C=C1)OCO2)NC	Found in Compounds	Auto-corrected from 4-methylenedioxymethamphetamine						
							Not Found		5	Unknown				
3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one	3,5-dimethyl-2-pyridin-3-yl-1,3-thiazolidin-4-one	9837183.0	C10H12N2OS	208.28	CC1C(=O)N(C(S1)C2=CN=CC=C2)C	CC1C(=O)N(C(S1)C2=CN=CC=C2)C	Found in Compounds	Auto-corrected from 5-dimethyl-2-(3-pyridyl)thiazolidin-4-one						
5-hydroxyindole-3-acetic acid	2-(5-hydroxy-1H-indol-3-yl)acetic acid	1826.0	C10H9NO3	191.18	C1=CC2=C(C=C1O)C(=CN2)CC(=O)O	C1=CC2=C(C=C1O)C(=CN2)CC(=O)O	Found in Compounds							
5-hydroxyomeprazole	[4-methoxy-6-[(6-methoxy-1H-benzimidazol-2-yl)sulfinylmethyl]-5-methyl-3-pyridinyl]methanol	119560.0	C17H19N3O4S	361.4	CC1=C(C(=CN=C1CS(=O)C2=NC3=C(N2)C=C(C=C3)OC)CO)OC	CC1=C(C(=CN=C1CS(=O)C2=NC3=C(N2)C=C(C=C3)OC)CO)OC	Found in Compounds							
5,6-Dihydrothymine	5-methyl-1,3-diazinane-2,4-dione	93556.0	C5H8N2O2	128.13	CC1CNC(=O)NC1=O	CC1CNC(=O)NC1=O	Found in Compounds	Auto-corrected from 6-dihydrothymine						
