drug	gene
chloroacetaldehyde	ALDH1A1
sodium_nitrite	CYB5R3
sodium_nitrite	G6PD
pentazocine	ABCB1
estrogens	F5
estrogens	SULT1A1
paroxetine	COMT
paroxetine	RPP30
paroxetine	REEP5
paroxetine	MDGA2
paroxetine	HTR1A
paroxetine	ADM
paroxetine	ABCB1
paroxetine	DRD3
paroxetine	FKBP5
paroxetine	GDNF
paroxetine	HTR1B
paroxetine	HTR3B
paroxetine	HTR7
paroxetine	BDNF
paroxetine	TPH1
paroxetine	SRP19
benzphetamine	CYP3A4
sparteine	CYP2D6
imiquimod	TLR7
arformoterol	CYP2D6
arformoterol	UGT1A1
brigatinib	ALK
doxorubicinol	SLC22A16
doxorubicinol	AKR1A1
doxorubicinol	CBR1
ceftriaxone	ABCC2
ceftriaxone	CYB5R3
ceftriaxone	G6PD
ceftriaxone	ABCG2
dexrazoxane	ABCB1
tamsulosin	CYP2D6
tamsulosin	CYP3A4
succimer	G6PD
alglucosidase_alfa	GAA
dimethyl_fumarate	GSTP1
tiludronate	IL1B
carbidopa	DDC
carbidopa	MTHFR
(S)-methadone	CYP2B6
evodiamine	SLC6A4
eltrombopag	F5
eltrombopag	SERPINC1
eltrombopag	UGT1A1
minoxidil	SULT1A1
plain_vitamin_b-complex	MTHFR
plain_vitamin_b-complex	MTRR
mephedrone	CYP2D6
isotretinoin	CYP3A5
Phenothiazine_derivatives	ABCB1
levacetylleucine	NPC1
levacetylleucine	NPC2
felbamate	CYP2C19
felbamate	CYP3A4
isosorbide_dinitrate	CYB5R4
isosorbide_dinitrate	CYB5R1
isosorbide_dinitrate	CYB5R2
isosorbide_dinitrate	CYB5R3
luspatercept	HBB
cefotaxime	SLC22A8
avapritinib	KIT
avapritinib	PDGFRA
dronedarone	CYP2D6
dronedarone	CYP3A4
ganaxolone	CDKL5
ombitasvir_/_paritaprevir_/_ritonavir	IFNL3
ombitasvir_/_paritaprevir_/_ritonavir	IFNL4
lazertinib	GSTM1
lazertinib	EGFR
clozapine_n-oxide	CYP3A4
dopamine	ADRA1D
dopamine	ADRA1B
dopamine	ADRA1A
dopamine	ADRA2A
dopamine	ADRA2B
dopamine	ADRA2C
dopamine	ADRB1
rozanolixizumab	CHRNA3
rozanolixizumab	CHRNA7
rozanolixizumab	CHRNA1
rozanolixizumab	CHRNA4
rozanolixizumab	CHRNA5
rozanolixizumab	CHRNA6
rozanolixizumab	CHRNB1
rozanolixizumab	CHRNE
rozanolixizumab	MUSK
dacomitinib	EGFR
latonduine_a	CFTR
haloperidol	COMT
haloperidol	CYP3A5
haloperidol	ANKK1
haloperidol	HTR3E
haloperidol	ZIC4
haloperidol	ARID5B
haloperidol	EIF2AK4
haloperidol	PLEKHA6
haloperidol	HOMER1
haloperidol	DRD1
haloperidol	RTKN2
haloperidol	HTR2C
haloperidol	KCNH2
haloperidol	ABCB5
haloperidol	AKAP13
haloperidol	DPP6
haloperidol	DRD2
haloperidol	DTNBP1
haloperidol	TOR1A
haloperidol	EPM2A
haloperidol	FAAH
haloperidol	GRIA1
haloperidol	GRIK4
haloperidol	GRIN1
haloperidol	GRIN2A
haloperidol	GRIN2B
haloperidol	HSPG2
haloperidol	HTR3A
haloperidol	IL1RN
haloperidol	MC4R
haloperidol	SLC6A3
haloperidol	SLC6A4
haloperidol	NKX6-1
haloperidol	NTS
haloperidol	RGS2
haloperidol	RYR1
haloperidol	SLC6A5
haloperidol	CACNA1C
androstenedione	CYP2C19
theophylline	CYP3A4
theophylline	CYP1A2
ritodrine	ADRB2
ritodrine	CACNA1C
ipilimumab	CD274
ipilimumab	ALK
ipilimumab	HLA-A
ipilimumab	EGFR
furosemide	SLCO1B1
furosemide	ACE
furosemide	NPPA-AS1
furosemide	GNB3
furosemide	ADD1
furosemide	SLC12A3
furosemide	ABCC4
simvastatin_acid	SLCO1B1
methoxamine	ADRA1D
methoxamine	ADRA1B
methoxamine	ADRA1A
hydroxyamitriptyline	CYP2D6
hydroxyprogesterone	CYP2C19
sacrosidase	SI
etoricoxib	PTGS2
cotinine	CHRNA3
cotinine	CYP2A6
cotinine	CYP2B6
cotinine	NAT1
cotinine	CHRNA5
cotinine	CHRNB4
cotinine	OPRM1
cotinine	PSMA4
cotinine	UGT2B10
lumiracoxib	CYP2C9
lumiracoxib	PTGS2
lumiracoxib	HLA-DQA1
lumiracoxib	HLA-DQB1
lumiracoxib	HLA-DRB1
sulfadiazine	CYP3A4
sulfadiazine	G6PD
Measles_vaccines	HLA-B
Measles_vaccines	HLA-DQA1
Measles_vaccines	HLA-DRB1
Measles_vaccines	TLR3
