Categoria: PK, Repeticiones: 939
Categoria: OTHER, Repeticiones: 2613
Categoria: NEED_LESS_DOSE, Repeticiones: 435
Categoria: DISEASE, Repeticiones: 6677
Categoria: NO_EFFECT_RELATED, Repeticiones: 1254
Categoria: NO_RISK | NO_SIDE_EFFECT, Repeticiones: 142
Categoria: EFFICACY, Repeticiones: 2785
Categoria: PTF, Repeticiones: 83
Categoria: SIDE_EFFECT, Repeticiones: 4882
Categoria: HTR1B, Repeticiones: 4
Categoria: XDH, Repeticiones: 2
Categoria: MT-RNR1, Repeticiones: 3
Categoria: TYMS, Repeticiones: 4
Categoria: CFTR, Repeticiones: 72
Categoria: DPYD, Repeticiones: 93
Categoria: PTGS2, Repeticiones: 2
Categoria: CES1, Repeticiones: 6
Categoria: CYP19A1, Repeticiones: 6
Categoria: TPMT, Repeticiones: 19
Categoria: DPP4, Repeticiones: 2
Categoria: CYP2A6, Repeticiones: 18
Categoria: SCAP, Repeticiones: 1
Categoria: CYP2D6, Repeticiones: 34
Categoria: CYP4F2, Repeticiones: 6
Categoria: CYP3A4, Repeticiones: 21
Categoria: KCNJ11, Repeticiones: 1
Categoria: KCNH2, Repeticiones: 4
Categoria: CYP2C19, Repeticiones: 64
Categoria: RYR1, Repeticiones: 1
Categoria: NCOA1, Repeticiones: 2
Categoria: CDA, Repeticiones: 5
Categoria: CYP2B6, Repeticiones: 34
Categoria: DCTD, Repeticiones: 1
Categoria: TNF, Repeticiones: 2
Categoria: NO_EFFECT_RELATED-G, Repeticiones: 2
Categoria: OPRM1, Repeticiones: 1
Categoria: UGT1A4, Repeticiones: 2
Categoria: UGT1A, Repeticiones: 3
Categoria: ADH1B, Repeticiones: 1
Categoria: SCNN1B, Repeticiones: 2
Categoria: SLCO2B1, Repeticiones: 7
Categoria: SLC17A3, Repeticiones: 4
Categoria: CYP2C9, Repeticiones: 39
Categoria: AMPc, Repeticiones: 1
Categoria: PAH, Repeticiones: 9
Categoria: NAT2, Repeticiones: 3
Categoria: AKR7A2, Repeticiones: 2
Categoria: AKR1C4, Repeticiones: 1
Categoria: AKR1C3, Repeticiones: 5
Categoria: UGT1A1, Repeticiones: 16
Categoria: ABCC4, Repeticiones: 6
Categoria: AADAC, Repeticiones: 6
Categoria: ABCB1, Repeticiones: 21
Categoria: UGT1A6, Repeticiones: 1
Categoria: SULT2B1, Repeticiones: 6
Categoria: CYP3A5, Repeticiones: 3
Categoria: CYP3A4protein, Repeticiones: 1
Categoria: A2Mprotein, Repeticiones: 1
Categoria: NAMPcTprotein, Repeticiones: 2
Categoria: TPMTprotein, Repeticiones: 1
Categoria: CBR1, Repeticiones: 2
Categoria: ADRB2, Repeticiones: 1
Categoria: CCND1mRNA, Repeticiones: 1
Categoria: KDR, Repeticiones: 1
Categoria: MGMT, Repeticiones: 1
Categoria: GSTT1, Repeticiones: 1
Categoria: GSK3B, Repeticiones: 1
Categoria: F12, Repeticiones: 1
Categoria: IMPDH2, Repeticiones: 1
Categoria: TBX2, Repeticiones: 1
Categoria: SQSTM1, Repeticiones: 1
Categoria: UGT1A9, Repeticiones: 2
Categoria: VKORC1, Repeticiones: 2
Categoria: YAP1, Repeticiones: 1
Categoria: PRSS55, Repeticiones: 1
Categoria: PLG, Repeticiones: 1
Categoria: RARG, Repeticiones: 1
Categoria: NT5C2, Repeticiones: 2
Categoria: ABCC1, Repeticiones: 2
Categoria: NQO1, Repeticiones: 1
Categoria: SLC22A3, Repeticiones: 1
Categoria: CYP1A2, Repeticiones: 4
Categoria: ABCC11, Repeticiones: 1
Categoria: ABCC2, Repeticiones: 1
Categoria: CACNA1S, Repeticiones: 1
Categoria: ACE, Repeticiones: 1
Categoria: CYP2E1, Repeticiones: 2
Categoria: DECREASED_OVERALL_SURVIVAL_LIKELIHOOD, Repeticiones: 2
Categoria: DECREASED_OVERALL_SURVIVAL_RATE, Repeticiones: 1
