pmid	cid
26902539	N/A
22249484	22249484.0
22249484	22249484.0
26804235	N/A
21397523	21397523.0
21397523	21397523.0
24608794	24608794.0
24608794	24608794.0
21856293	21856293.0
21856293	21856293.0
25919528	N/A
19005482	19005482.0
19005482	19005482.0
26607661	N/A
21921847	21921847.0
21921847	21921847.0
25493567	25493567.0
25493567	25493567.0
25493568	25493568.0
25493568	25493568.0
25493569	N/A
16842817	N/A
19890249	N/A
15564877	N/A
36143183	N/A
15564880	15564880.0
15564880	15564880.0
15564883	N/A
27099220	27099220.0
27099220	27099220.0
31653973	N/A
19628119	19628119.0
19628119	19628119.0
28377187	N/A
21561445	N/A
24019055	24019055.0
24019055	24019055.0
14647407	14647407.0
14647407	14647407.0
14647408	14647408.0
14647408	14647408.0
25395315	25395315.0
25395315	25395315.0
26902643	N/A
29098099	29098099.0
29098099	29098099.0
22052985	N/A
22052985	N/A
24346747	24346747.0
24346747	24346747.0
23953533	23953533.0
23953533	23953533.0
27885697	N/A
41025677	N/A
16875663	N/A
19300499	19300499.0
19300499	19300499.0
25002132	25002132.0
25002132	25002132.0
15630486	N/A
28606620	N/A
16580768	16580768.0
16580768	16580768.0
10223777	10223777.0
10223777	10223777.0
9797795	9797795.0
9797795	9797795.0
9797796	3033.0
9797796	3033.0
39157928	39157928.0
39157928	39157928.0
11174059	11174059.0
11174059	11174059.0
21168310	21168310.0
21168310	21168310.0
21790903	21790903.0
21790903	21790903.0
21790905	21790905.0
21790905	21790905.0
29524157	N/A
17563839	17563839.0
17563839	17563839.0
21692613	21692613.0
21692613	21692613.0
16875718	16875718.0
16875718	16875718.0
37781702	N/A
21790926	21790926.0
21790926	21790926.0
11337938	11337938.0
11337938	11337938.0
29065426	29065426.0
29065426	29065426.0
28836054	28836054.0
28836054	28836054.0
11337943	11337943.0
11337943	11337943.0
36110554	N/A
3571939	3571939.0
3571939	3571939.0
37454061	N/A
23429358	23429358.0
23429358	23429358.0
28639471	N/A
24510702	24510702.0
24510702	24510702.0
38076663	N/A
21692664	21692664.0
21692664	21692664.0
28639487	N/A
28639488	28639488.0
28639488	28639488.0
29393157	N/A
28639493	N/A
9109770	9109770.0
9109770	9109770.0
38994198	N/A
20054294	20054294.0
20054294	20054294.0
39092502	N/A
24510746	24510746.0
24510746	24510746.0
21987611	N/A
27001118	27001118.0
27001118	27001118.0
27001119	27001119.0
27001119	27001119.0
27001120	27001120.0
27001120	27001120.0
12222750	N/A
16580898	16580898.0
16580898	16580898.0
11927842	11927842.0
11927842	11927842.0
16580900	16580900.0
16580900	16580900.0
24215845	24215845.0
24215845	24215845.0
16580902	16580902.0
16580902	16580902.0
29229354	N/A
15565110	15565110.0
15565110	15565110.0
33915198	N/A
9732415	N/A
16515395	16515395.0
16515395	16515395.0
23494984	23494984.0
23494984	23494984.0
21692745	N/A
21430602	21430602.0
21430602	21430602.0
25329996	N/A
10027340	10027340.0
10027340	10027340.0
21922127	N/A
21332310	21332309.0
21332310	21332309.0
