Id	SNP_ID	ACC_NUMBER	ALLELE	SNP_CLASS	CHRPOS	FXN_CLASS	GENE_NAME
238	238	NC_000009.12	N	snv	9:96023994	intron_variant,non_coding_transcript_variant,genic_downstream_transcript_variant	ERCC6L2,LOC105376159
320	320	NC_000008.11	D	snv	8:19961566	intron_variant	LPL
328	328	NC_000008.11	V	snv	8:19962213	coding_sequence_variant,stop_gained	LPL
333	333	NC_000003.12	N	delins	3:46373453	coding_sequence_variant,intron_variant,frameshift_variant	CCR5,CCR5AS
562	562	NC_000003.12	N	snv	3:183920057	genic_downstream_transcript_variant,3_prime_UTR_variant	ABCC5
662	662	NC_000007.14	N	snv	7:95308134	coding_sequence_variant,missense_variant	PON1
669	669	NC_000012.12	N	snv	12:9079672	intron_variant,genic_downstream_transcript_variant,missense_variant,coding_sequence_variant	A2M,KLRG1
671	671	NC_000012.12	R	snv	12:111803962	missense_variant,coding_sequence_variant	ALDH2
686	686	NC_000005.10	N	snv	5:175441697	3_prime_UTR_variant	DRD1
688	688	NC_000019.10	Y	snv	19:11116926	intron_variant,synonymous_variant,coding_sequence_variant	LDLR
696	696	NC_000014.9	N	snv	14:35401887	3_prime_UTR_variant	NFKBIA
698	698	NC_000004.12	H	snv	4:99339632	non_coding_transcript_variant,missense_variant,coding_sequence_variant	ADH1C
699	699	NC_000001.11	N	snv	1:230710048	coding_sequence_variant,missense_variant	AGT
848	848	NC_000005.10	N	snv	5:132660808	3_prime_UTR_variant	IL13
1205	1205	NC_000001.11	Y	snv	1:159712443	3_prime_UTR_variant	CRP
1208	1208	NC_000008.11	N	snv	8:18400806	missense_variant,coding_sequence_variant	NAT2
1500	1500	NC_000005.10	V	snv	5:76981013	non_coding_transcript_variant,genic_downstream_transcript_variant	CRHBP
1594	1594	NC_000002.12	N	snv	2:201160898	non_coding_transcript_variant,genic_downstream_transcript_variant,coding_sequence_variant,downstream_transcript_variant,synonymous_variant	CFLAR
1695	1695	NC_000011.10	D	snv	11:67585218	coding_sequence_variant,missense_variant	GSTP1
1948	1948	NC_000015.10	D	snv	15:78625057	genic_downstream_transcript_variant,synonymous_variant,downstream_transcript_variant,coding_sequence_variant,3_prime_UTR_variant	CHRNB4
2660	2660	NC_000012.12	D	snv	12:112919637	genic_downstream_transcript_variant,intron_variant,3_prime_UTR_variant,missense_variant,stop_gained,coding_sequence_variant	OAS1
2790	2790	NC_000018.10	D	snv	18:673086	genic_downstream_transcript_variant,3_prime_UTR_variant,intron_variant,genic_upstream_transcript_variant,upstream_transcript_variant	TYMS,ENOSF1
3077	3077	NC_000006.12	N	snv	6:33065245	3_prime_UTR_variant,genic_downstream_transcript_variant	HLA-DPA1
3100	3100	NC_000004.12	N	snv	4:68646936	3_prime_UTR_variant	UGT2B15
3397	3397	NC_000001.11	Y	snv	1:12207235	3_prime_UTR_variant	TNFRSF1B
3594	3594	NC_000008.11	M	snv	8:30678143	3_prime_UTR_variant	GSR
3842	3842	NC_000007.14	N	snv	7:87504050	3_prime_UTR_variant	ABCB1
4073	4073	NC_000004.12	N	snv	4:73740307	2KB_upstream_variant,upstream_transcript_variant	CXCL8
4291	4291	NC_000017.11	H	snv	17:63476833	2KB_upstream_variant,upstream_transcript_variant	ACE
4292	4292	NC_000017.11	N	snv	17:63476980	2KB_upstream_variant,upstream_transcript_variant	ACE
4341	4341	NC_000017.11	N	snv	17:63488629	intron_variant,non_coding_transcript_variant	ACE
4343	4343	NC_000017.11	D	snv	17:63488670	coding_sequence_variant,non_coding_transcript_variant,synonymous_variant	ACE
4344	4344	NC_000017.11	V	snv	17:63489363	intron_variant	ACE
4359	4359	NC_000017.11	H	snv	17:63494982	intron_variant	ACE
4523	4523	NC_000019.10	N	snv	19:3595796	synonymous_variant,coding_sequence_variant,stop_gained	TBXA2R
4532	4532	NC_000005.10	B	snv	5:175443147	5_prime_UTR_variant	DRD1
4548	4548	NC_000003.12	H	snv	3:128806410	synonymous_variant,coding_sequence_variant	RAB7A
