Chemical_ID;Chemical;Entity1_type;Variant_ID;Variant;Entity2_type;LADME
PA450801;PAROXETINE;CHEMICAL;PA166154259;rs6265;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166154324;rs1176744;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166154340;rs1800532;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166154449;rs11042725;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166154673;rs6311;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166154675;rs6313;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166154726;rs7997012;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166154774;rs1160351;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166154850;rs762551;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166154893;rs2470890;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166154898;rs2472304;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166154909;rs4646425;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166154910;rs4646427;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166156024;rs4680;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166156277;rs6280;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166156708;rs6295;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166156716;rs153549;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166156717;rs153560;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166156736;rs495794;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166156760;rs1364043;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166156787;rs2216711;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166156811;rs2973049;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166156855;rs10042486;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166156908;rs130058;VARIANT;
PA450801;PAROXETINE;CHEMICAL;PA166156983;rs1360780;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166157316;rs2032582;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166157317;rs2032583;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166157336;rs2235015;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166157338;rs2235040;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166157341;rs2235067;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166157386;rs4148739;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166157387;rs4148740;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166157428;rs7787082;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166157440;rs10248420;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166157445;rs10280101;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166157453;rs11983225;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166157458;rs12720067;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166157485;rs28401781;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166158926;rs57098334;VARIANT;PD
PA450801;PAROXETINE;CHEMICAL;PA166182096;rs7905446;VARIANT;PD
PA449972;IMIQUIMOD;CHEMICAL;PA166157851;rs179008;VARIANT;PD
PA165291922;DOXORUBICINOL;CHEMICAL;PA166155974;rs20572;VARIANT;
PA165291922;DOXORUBICINOL;CHEMICAL;PA166156940;rs714368;VARIANT;
PA165291922;DOXORUBICINOL;CHEMICAL;PA166248081;rs6690497;VARIANT;
PA165291922;DOXORUBICINOL;CHEMICAL;PA166248082;rs2229540;VARIANT;
PA448866;CEFTRIAXONE;CHEMICAL;PA166154007;rs2273697;VARIANT;
PA448866;CEFTRIAXONE;CHEMICAL;PA166156664;rs13120400;VARIANT;
PA449259;DEXRAZOXANE;CHEMICAL;PA166157316;rs2032582;VARIANT;PD
PA451583;TAMSULOSIN;CHEMICAL;PA166157896;CYP2D6 extensive metabolizer genotype;VARIANT;
PA166152838;DIMETHYL FUMARATE;CHEMICAL;PA166154249;rs1695;VARIANT;PD
PA451688;TILUDRONATE;CHEMICAL;PA166155587;rs16944;VARIANT;PD
PA165981594;ELTROMBOPAG;CHEMICAL;PA166153554;rs6025;VARIANT;
PA10505;VITAMIN B-COMPLEX, PLAIN;CHEMICAL;PA166153644;rs1801133;VARIANT;PD
PA10505;VITAMIN B-COMPLEX, PLAIN;CHEMICAL;PA166156776;rs1801394;VARIANT;PD
PA448852;CEFOTAXIME;CHEMICAL;PA166154457;rs11568482;VARIANT;
PA166223903;AVAPRITINIB;CHEMICAL;PA166285041;rs121908585;VARIANT;
PA166163408;OMBITASVIR / PARITAPREVIR / RITONAVIR;CHEMICAL;PA166155468;rs12979860;VARIANT;
PA166182279;DACOMITINIB;CHEMICAL;PA166157527;rs121434568;VARIANT;
PA166153449;LATONDUINE A;CHEMICAL;PA166157525;rs113993960;VARIANT;
PA449841;HALOPERIDOL;CHEMICAL;PA166153569;rs324420;VARIANT;PD
PA449841;HALOPERIDOL;CHEMICAL;PA166154088;rs7912580;VARIANT;PD
PA449841;HALOPERIDOL;CHEMICAL;PA166154366;rs2298826;VARIANT;PD
PA449841;HALOPERIDOL;CHEMICAL;PA166154891;rs2412459;VARIANT;PD
PA449841;HALOPERIDOL;CHEMICAL;PA166155269;rs489693;VARIANT;PD
PA449841;HALOPERIDOL;CHEMICAL;PA166156024;rs4680;VARIANT;PD
PA449841;HALOPERIDOL;CHEMICAL;PA166156964;rs909706;VARIANT;PD
PA449841;HALOPERIDOL;CHEMICAL;PA166156984;rs1415744;VARIANT;PD
PA449841;HALOPERIDOL;CHEMICAL;PA166157469;rs17143212;VARIANT;PD
PA451258;RITODRINE;CHEMICAL;PA166163612;rs10774053;VARIANT;PD
PA449719;FUROSEMIDE;CHEMICAL;PA166153548;rs5063;VARIANT;PD
PA449719;FUROSEMIDE;CHEMICAL;PA166154486;rs5443;VARIANT;PD
PA449719;FUROSEMIDE;CHEMICAL;PA166154579;rs4149056;VARIANT;
PA449719;FUROSEMIDE;CHEMICAL;PA166155014;rs1529927;VARIANT;PD
PA449719;FUROSEMIDE;CHEMICAL;PA166155187;rs1799752;VARIANT;PD
PA449719;FUROSEMIDE;CHEMICAL;PA166156480;rs4961;VARIANT;PD
PA449719;FUROSEMIDE;CHEMICAL;PA166161197;rs17268282;VARIANT;PD
PA166129446;SIMVASTATIN ACID;CHEMICAL;PA166154579;rs4149056;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166154919;rs7170068;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166154929;rs10851907;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166154938;rs16969968;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166154955;rs57064725;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166156696;rs77107237;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166156924;rs510769;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166156991;rs1799971;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166157015;rs2075572;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166157644;rs13253389;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166163174;rs2942857;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166177785;rs1074287;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166177786;rs6912029;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166177787;rs12209447;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166177788;rs3798676;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166177789;rs553202;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166177791;rs7748401;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166177792;rs495491;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166177793;rs10457090;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166177794;rs589046;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166177795;rs3778152;VARIANT;
PA166114414;COTININE;CHEMICAL;PA166177796;rs563649;VARIANT;
PA164712887;MEASLES VACCINES;CHEMICAL;PA166156579;rs3775291;VARIANT;PD
PA10405;ADRENERGICS, INHALANTS;CHEMICAL;PA166157486;rs34548976;VARIANT;PD
PA166128167;DACLATASVIR;CHEMICAL;PA166155468;rs12979860;VARIANT;PD
PA451616;TERBUTALINE;CHEMICAL;PA166156749;rs1042714;VARIANT;PD
PA450475;METOCLOPRAMIDE;CHEMICAL;PA166157902;CYB5R3 deficiency;VARIANT;
PA166128166;LEDIPASVIR;CHEMICAL;PA166155435;rs8099917;VARIANT;PD
PA166128166;LEDIPASVIR;CHEMICAL;PA166155468;rs12979860;VARIANT;PD
PA166178659;ARACHIDONIC ACID;CHEMICAL;PA166155381;rs2108622;VARIANT;
PA166178659;ARACHIDONIC ACID;CHEMICAL;PA166304144;rs114396708;VARIANT;
PA166178659;ARACHIDONIC ACID;CHEMICAL;PA166316641;rs753169154;VARIANT;
PA166178659;ARACHIDONIC ACID;CHEMICAL;PA166316645;rs754533672;VARIANT;
PA166178659;ARACHIDONIC ACID;CHEMICAL;PA166316681;rs1292029455;VARIANT;
PA166178659;ARACHIDONIC ACID;CHEMICAL;PA166316683;rs550261161;VARIANT;
PA450348;MEFLOQUINE;CHEMICAL;PA166157959;G6PD deficiency;VARIANT;
PA448422;AMPRENAVIR;CHEMICAL;PA166154579;rs4149056;VARIANT;
PA448068;SALBUTAMOL;CHEMICAL;PA166154136;rs11252394;VARIANT;PD
PA448068;SALBUTAMOL;CHEMICAL;PA166154738;rs9552679;VARIANT;PD
PA448068;SALBUTAMOL;CHEMICAL;PA166154783;rs1663330;VARIANT;PD
PA448068;SALBUTAMOL;CHEMICAL;PA166154784;rs1663332;VARIANT;PD
PA448068;SALBUTAMOL;CHEMICAL;PA166156053;rs518350;VARIANT;PD
PA448068;SALBUTAMOL;CHEMICAL;PA166156127;rs6002674;VARIANT;PD
PA448068;SALBUTAMOL;CHEMICAL;PA166156517;rs1522113;VARIANT;PD
PA448068;SALBUTAMOL;CHEMICAL;PA166156673;rs17701271;VARIANT;PD
PA448068;SALBUTAMOL;CHEMICAL;PA166156744;rs881152;VARIANT;PD
PA448068;SALBUTAMOL;CHEMICAL;PA166156748;rs1042713;VARIANT;PD
PA448068;SALBUTAMOL;CHEMICAL;PA166156762;rs1423515;VARIANT;PD
PA448068;SALBUTAMOL;CHEMICAL;PA166156773;rs1800888;VARIANT;
PA448068;SALBUTAMOL;CHEMICAL;PA166156887;rs17495520;VARIANT;PD
PA448068;SALBUTAMOL;CHEMICAL;PA166157250;rs255100;VARIANT;PD
PA448068;SALBUTAMOL;CHEMICAL;PA166157294;rs1419555;VARIANT;PD
PA448068;SALBUTAMOL;CHEMICAL;PA166157348;rs2267715;VARIANT;PD
PA448068;SALBUTAMOL;CHEMICAL;PA166157353;rs2284220;VARIANT;PD
PA448068;SALBUTAMOL;CHEMICAL;PA166157430;rs7793837;VARIANT;PD
PA448068;SALBUTAMOL;CHEMICAL;PA166157622;rs6988229;VARIANT;PD
PA448068;SALBUTAMOL;CHEMICAL;PA166157806;rs10511905;VARIANT;PD
PA450192;LEFLUNOMIDE;CHEMICAL;PA166154850;rs762551;VARIANT;PD
PA450192;LEFLUNOMIDE;CHEMICAL;PA166155048;rs3213422;VARIANT;PD
PA450192;LEFLUNOMIDE;CHEMICAL;PA166157026;rs2234693;VARIANT;PD
PA450192;LEFLUNOMIDE;CHEMICAL;PA166157143;rs9340799;VARIANT;PD
PA10235;ZOLEDRONATE;CHEMICAL;PA166153695;rs2297480;VARIANT;PD
PA10235;ZOLEDRONATE;CHEMICAL;PA166153985;rs1934951;VARIANT;PD
PA10235;ZOLEDRONATE;CHEMICAL;PA166199721;rs147451859;VARIANT;PD
PA10235;ZOLEDRONATE;CHEMICAL;PA166199722;rs17587029;VARIANT;PD
PA449655;FLUDARABINE;CHEMICAL;PA166153993;rs2070673;VARIANT;PD
PA449655;FLUDARABINE;CHEMICAL;PA166154017;rs2515641;VARIANT;PD
PA449655;FLUDARABINE;CHEMICAL;PA166154455;rs11231825;VARIANT;PD
PA449655;FLUDARABINE;CHEMICAL;PA166154579;rs4149056;VARIANT;PD
PA449655;FLUDARABINE;CHEMICAL;PA166155396;rs2302948;VARIANT;PD
PA449655;FLUDARABINE;CHEMICAL;PA166159131;rs1801157;VARIANT;PD
PA166179872;ENCORAFENIB;CHEMICAL;PA166157522;rs113488022;VARIANT;
PA165291492;PAZOPANIB;CHEMICAL;PA166156679;rs34231037;VARIANT;PD
PA448926;CHLORAMBUCIL;CHEMICAL;PA166159131;rs1801157;VARIANT;PD
PA166186245;ACETALDEHYDE;CHEMICAL;PA166154482;rs671;VARIANT;
PA166186245;ACETALDEHYDE;CHEMICAL;PA166156506;rs1229976;VARIANT;
PA166186245;ACETALDEHYDE;CHEMICAL;PA166156507;rs1229984;VARIANT;
PA166186245;ACETALDEHYDE;CHEMICAL;PA166186239;rs4643;VARIANT;
PA166152935;IVACAFTOR / LUMACAFTOR;CHEMICAL;PA166157519;rs78655421;VARIANT;
PA166152935;IVACAFTOR / LUMACAFTOR;CHEMICAL;PA166157525;rs113993960;VARIANT;PD
PA166152935;IVACAFTOR / LUMACAFTOR;CHEMICAL;PA166161188;rs121909011;VARIANT;PD
PA166152935;IVACAFTOR / LUMACAFTOR;CHEMICAL;PA166162705;rs74551128;VARIANT;PD
PA451581;TAMOXIFEN;CHEMICAL;PA166153953;rs717620;VARIANT;PD
PA451581;TAMOXIFEN;CHEMICAL;PA166154027;rs3740065;VARIANT;PD
PA451581;TAMOXIFEN;CHEMICAL;PA166154108;rs10509373;VARIANT;PD
PA451581;TAMOXIFEN;CHEMICAL;PA166154443;rs11023197;VARIANT;PD
PA451581;TAMOXIFEN;CHEMICAL;PA166154495;rs310786;VARIANT;PD
PA451581;TAMOXIFEN;CHEMICAL;PA166154805;rs4986938;VARIANT;PD
PA451581;TAMOXIFEN;CHEMICAL;PA166154836;rs4646;VARIANT;PD
PA451581;TAMOXIFEN;CHEMICAL;PA166155087;rs8060157;VARIANT;PD
PA451581;TAMOXIFEN;CHEMICAL;PA166155648;rs1804645;VARIANT;PD
PA451581;TAMOXIFEN;CHEMICAL;PA166155662;rs2011425;VARIANT;
PA451581;TAMOXIFEN;CHEMICAL;PA166156638;rs10030044;VARIANT;PD
PA451581;TAMOXIFEN;CHEMICAL;PA166157143;rs9340799;VARIANT;PD
PA451581;TAMOXIFEN;CHEMICAL;PA166157258;rs478437;VARIANT;PD
PA451581;TAMOXIFEN;CHEMICAL;PA166157284;rs1045642;VARIANT;PD
PA451581;TAMOXIFEN;CHEMICAL;PA166157367;rs2740574;VARIANT;PD
PA164745398;BUTORPHANOL;CHEMICAL;PA166156023;rs4633;VARIANT;PD
PA164745398;BUTORPHANOL;CHEMICAL;PA166156027;rs6269;VARIANT;PD
PA164745398;BUTORPHANOL;CHEMICAL;PA166183555;rs702764;VARIANT;PD
PA164712372;ANGIOTENSIN II ANTAGONISTS;CHEMICAL;PA166153977;rs1801253;VARIANT;PD
PA164712372;ANGIOTENSIN II ANTAGONISTS;CHEMICAL;PA166156748;rs1042713;VARIANT;PD
PA164712372;ANGIOTENSIN II ANTAGONISTS;CHEMICAL;PA166157303;rs1799983;VARIANT;PD
PA449690;FLUVOXAMINE;CHEMICAL;PA166154673;rs6311;VARIANT;PD
PA449690;FLUVOXAMINE;CHEMICAL;PA166154675;rs6313;VARIANT;PD
PA449690;FLUVOXAMINE;CHEMICAL;PA166154774;rs1160351;VARIANT;PD
PA449690;FLUVOXAMINE;CHEMICAL;PA166156024;rs4680;VARIANT;PD
PA449690;FLUVOXAMINE;CHEMICAL;PA166156513;rs1449683;VARIANT;PD
PA449690;FLUVOXAMINE;CHEMICAL;PA166156708;rs6295;VARIANT;PD
PA449690;FLUVOXAMINE;CHEMICAL;PA166156760;rs1364043;VARIANT;PD
PA449690;FLUVOXAMINE;CHEMICAL;PA166156855;rs10042486;VARIANT;PD
PA449690;FLUVOXAMINE;CHEMICAL;PA166157317;rs2032583;VARIANT;PD
PA449690;FLUVOXAMINE;CHEMICAL;PA166157338;rs2235040;VARIANT;PD
PA449690;FLUVOXAMINE;CHEMICAL;PA166157927;CYP2D6 poor metabolizer;VARIANT;
PA451131;PROPAFENONE;CHEMICAL;PA166156031;rs16947;VARIANT;
PA451131;PROPAFENONE;CHEMICAL;PA166156155;rs28371725;VARIANT;
PA164754825;BOTULINUM TOXIN TYPE A;CHEMICAL;PA166196165;rs3781719;VARIANT;PD
PA164754825;BOTULINUM TOXIN TYPE A;CHEMICAL;PA166196173;rs222749;VARIANT;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA166153974;rs1800544;VARIANT;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA166154302;rs948854;VARIANT;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA166154384;rs2734833;VARIANT;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA166154408;rs4460839;VARIANT;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA166154673;rs6311;VARIANT;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA166155100;rs10514475;VARIANT;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA166155959;rs6108160;VARIANT;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA166156141;rs13306278;VARIANT;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA166156708;rs6295;VARIANT;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA166156777;rs1992647;VARIANT;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA166156853;rs10036156;VARIANT;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA166157104;rs4713916;VARIANT;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA166157284;rs1045642;VARIANT;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA166157703;rs301434;VARIANT;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA166157704;rs301435;VARIANT;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA166157760;rs3087879;VARIANT;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA166157853;rs502434;VARIANT;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA166157871;rs3761554;VARIANT;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA166157872;rs3761555;VARIANT;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA166182096;rs7905446;VARIANT;PD
PA164712362;ANALGESICS;CHEMICAL;PA166154259;rs6265;VARIANT;
PA164712362;ANALGESICS;CHEMICAL;PA166154260;rs6275;VARIANT;
PA164712362;ANALGESICS;CHEMICAL;PA166154672;rs6305;VARIANT;PD
PA164712362;ANALGESICS;CHEMICAL;PA166155996;rs2070995;VARIANT;PD
PA164712362;ANALGESICS;CHEMICAL;PA166156024;rs4680;VARIANT;
PA164712362;ANALGESICS;CHEMICAL;PA166156991;rs1799971;VARIANT;
PA164712362;ANALGESICS;CHEMICAL;PA166157734;rs1611115;VARIANT;
PA166160632;THIOGUANOSINE DIPHOSPHATE;CHEMICAL;PA166157904;TPMT poor metabolizer;VARIANT;
PA448360;AMANTADINE;CHEMICAL;PA166156932;rs622342;VARIANT;PD
PA134688071;ATOMOXETINE;CHEMICAL;PA166155055;rs3785143;VARIANT;PD
PA134688071;ATOMOXETINE;CHEMICAL;PA166155113;rs12708954;VARIANT;PD
PA134688071;ATOMOXETINE;CHEMICAL;PA166157927;CYP2D6 poor metabolizer;VARIANT;
PA451261;RITUXIMAB;CHEMICAL;PA166153571;rs396991;VARIANT;PD
PA451261;RITUXIMAB;CHEMICAL;PA166153652;rs1801274;VARIANT;PD
PA451261;RITUXIMAB;CHEMICAL;PA166155373;rs1800470;VARIANT;PD
PA451261;RITUXIMAB;CHEMICAL;PA166155374;rs1800471;VARIANT;PD
PA451261;RITUXIMAB;CHEMICAL;PA166156610;rs6822844;VARIANT;PD
PA451261;RITUXIMAB;CHEMICAL;PA166157094;rs3957357;VARIANT;PD
PA451261;RITUXIMAB;CHEMICAL;PA166157334;rs2229109;VARIANT;PD
PA451261;RITUXIMAB;CHEMICAL;PA166159131;rs1801157;VARIANT;PD
PA451261;RITUXIMAB;CHEMICAL;PA166160991;rs3759467;VARIANT;PD
