Variant_ID;Variant;Entity1_type;Chemical_ID;Chemical;Entity2_type;LADME
PA166184876;rs6848893;VARIANT;PA450741;OXYCODONE;CHEMICAL;PD
PA166218661;rs351776;VARIANT;PA448685;BUPRENORPHINE;CHEMICAL;PD
PA166218661;rs351776;VARIANT;PA450401;METHADONE;CHEMICAL;PD
PA166156025;rs4818;VARIANT;PA451201;QUETIAPINE;CHEMICAL;PD
PA166156025;rs4818;VARIANT;PA451257;RISPERIDONE;CHEMICAL;PD
PA166156025;rs4818;VARIANT;PA452618;OPIOIDS;CHEMICAL;
PA166154626;rs11045585;VARIANT;PA449383;DOCETAXEL;CHEMICAL;PD
PA166161516;rs2228014;VARIANT;PA130232992;BEVACIZUMAB;CHEMICAL;PD
PA166176039;rs367398;VARIANT;PA448320;ALLOPURINOL;CHEMICAL;PD
PA166157485;rs28401781;VARIANT;PA449015;CITALOPRAM;CHEMICAL;PD
PA166157485;rs28401781;VARIANT;PA449673;FLUOXETINE;CHEMICAL;PD
PA166157485;rs28401781;VARIANT;PA450801;PAROXETINE;CHEMICAL;PD
PA166157485;rs28401781;VARIANT;PA451333;SERTRALINE;CHEMICAL;PD
PA166153617;rs1061170;VARIANT;PA130232992;BEVACIZUMAB;CHEMICAL;PD
PA166153617;rs1061170;VARIANT;PA164746012;RANIBIZUMAB;CHEMICAL;PD
PA166153617;rs1061170;VARIANT;PA165984462;PHOTODYNAMIC THERAPY;CHEMICAL;PD
PA166179108;rs780668;VARIANT;PA449748;GEMCITABINE;CHEMICAL;PD
PA166156912;rs200148;VARIANT;PA448388;AMLODIPINE;CHEMICAL;PD
PA166156912;rs200148;VARIANT;PA448970;CHLORTHALIDONE;CHEMICAL;PD
PA166156912;rs200148;VARIANT;PA450242;LISINOPRIL;CHEMICAL;PD
PA166259922;rs11782370;VARIANT;PA448685;BUPRENORPHINE;CHEMICAL;PD
PA166156406;rs6438552;VARIANT;PA450243;LITHIUM;CHEMICAL;PD
PA166163749;rs12119882;VARIANT;PA448771;CAPECITABINE;CHEMICAL;PD
PA166157216;rs72552763;VARIANT;PA450379;MERCAPTOPURINE;CHEMICAL;
PA166157216;rs72552763;VARIANT;PA450395;METFORMIN;CHEMICAL;
PA166157216;rs72552763;VARIANT;PA450550;MORPHINE;CHEMICAL;
PA166157216;rs72552763;VARIANT;PA451124;PROGUANIL;CHEMICAL;
PA166157216;rs72552763;VARIANT;PA451224;RANITIDINE;CHEMICAL;
PA166157218;rs73748206;VARIANT;PA449748;GEMCITABINE;CHEMICAL;
PA166155344;rs14158;VARIANT;PA164749390;PEGINTERFERON ALFA-2A;CHEMICAL;PD
PA166155344;rs14158;VARIANT;PA164784024;PEGINTERFERON ALFA-2B;CHEMICAL;PD
PA166155344;rs14158;VARIANT;PA451241;RIBAVIRIN;CHEMICAL;PD
PA166177789;rs553202;VARIANT;PA166114414;COTININE;CHEMICAL;
PA166177789;rs553202;VARIANT;PA448073;ETHANOL;CHEMICAL;PD
PA166177789;rs553202;VARIANT;PA450626;NICOTINE;CHEMICAL;
PA166153649;rs1801266;VARIANT;PA128406956;FLUOROURACIL;CHEMICAL;
PA166153649;rs1801266;VARIANT;PA448771;CAPECITABINE;CHEMICAL;
PA166153649;rs1801266;VARIANT;PA452620;TEGAFUR;CHEMICAL;
PA166157560;rs1495741;VARIANT;PA164712708;DRUGS FOR TREATMENT OF TUBERCULOSIS;CHEMICAL;PD
PA166156827;rs4431329;VARIANT;PA449899;HYDROCHLOROTHIAZIDE;CHEMICAL;PD
PA166157809;rs10739150;VARIANT;PA448499;ATENOLOL;CHEMICAL;PD
PA166155256;rs16960228;VARIANT;PA449899;HYDROCHLOROTHIAZIDE;CHEMICAL;PD
PA166283281;rs444904;VARIANT;PA7000;SORAFENIB;CHEMICAL;PD
PA166154805;rs4986938;VARIANT;PA451581;TAMOXIFEN;CHEMICAL;PD
PA166156906;rs25648;VARIANT;PA128406956;FLUOROURACIL;CHEMICAL;PD
PA166156906;rs25648;VARIANT;PA131285527;OXALIPLATIN;CHEMICAL;PD
PA166156906;rs25648;VARIANT;PA449014;CISPLATIN;CHEMICAL;PD
PA166155597;rs676210;VARIANT;PA449594;FENOFIBRATE;CHEMICAL;PD
PA166154854;rs1008805;VARIANT;PA133950441;HMG COA REDUCTASE INHIBITORS;CHEMICAL;
PA166154854;rs1008805;VARIANT;PA448432;ANASTROZOLE;CHEMICAL;PD
PA166154854;rs1008805;VARIANT;PA450196;LETROZOLE;CHEMICAL;
PA166155632;rs1367117;VARIANT;PA450084;IRBESARTAN;CHEMICAL;PD
PA166155632;rs1367117;VARIANT;PA451906;WARFARIN;CHEMICAL;PD
PA166155039;rs2307240;VARIANT;PA166321761;REMIMAZOLAM;CHEMICAL;
PA166155039;rs2307240;VARIANT;PA449053;CLOPIDOGREL;CHEMICAL;PD
PA166155630;rs1143634;VARIANT;PA450550;MORPHINE;CHEMICAL;PD
PA166155630;rs1143634;VARIANT;PA452233;ANTIPSYCHOTICS;CHEMICAL;PD
PA166155630;rs1143634;VARIANT;PA452639;INFLIXIMAB;CHEMICAL;PD
PA166153885;rs45589337;VARIANT;PA448771;CAPECITABINE;CHEMICAL;
PA166155674;rs2241883;VARIANT;PA449594;FENOFIBRATE;CHEMICAL;PD
PA166184212;rs508448;VARIANT;PA452619;HEROIN;CHEMICAL;
PA166164951;rs150212784;VARIANT;PA165950341;IVACAFTOR;CHEMICAL;PD
PA166164951;rs150212784;VARIANT;PA166179845;IVACAFTOR / TEZACAFTOR;CHEMICAL;
PA166164951;rs150212784;VARIANT;PA166190041;ELEXACAFTOR / TEZACAFTOR / IVACAFTOR;CHEMICAL;
