Variant_ID;Variant;Entity1_type;Disease_ID;Disease;Entity2_type;LADME
PA166218661;rs351776;VARIANT;PA165108809;NEONATAL ABSTINENCE SYNDROME;DISEASE;PD
PA166156025;rs4818;VARIANT;PA445208;PAIN;DISEASE;
PA166156025;rs4818;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166154626;rs11045585;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166161516;rs2228014;VARIANT;PA446108;COLORECTAL NEOPLASMS;DISEASE;PD
PA166176039;rs367398;VARIANT;PA166120929;SEVERE CUTANEOUS ADVERSE REACTIONS;DISEASE;PD
PA166157485;rs28401781;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166153617;rs1061170;VARIANT;PA134850558;MACULAR DEGENERATION;DISEASE;PD
PA166179108;rs780668;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166156912;rs200148;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166259922;rs11782370;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166156406;rs6438552;VARIANT;PA447199;BIPOLAR DISORDER;DISEASE;PD
PA166163749;rs12119882;VARIANT;PA444511;HYPERBILIRUBINEMIA;DISEASE;PD
PA166163749;rs12119882;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166157216;rs72552763;VARIANT;PA443890;DIABETES MELLITUS, TYPE 2;DISEASE;
PA166157216;rs72552763;VARIANT;PA444614;INFECTION;DISEASE;
PA166157216;rs72552763;VARIANT;PA446155;PRECURSOR CELL LYMPHOBLASTIC LEUKEMIA-LYMPHOMA;DISEASE;
PA166155344;rs14158;VARIANT;PA446863;CHRONIC HEPATITIS C VIRUS INFECTION;DISEASE;PD
PA166155344;rs14158;VARIANT;PA447230;HIV INFECTIOUS DISEASE;DISEASE;PD
PA166157560;rs1495741;VARIANT;PA445941;TUBERCULOSIS;DISEASE;PD
PA166156827;rs4431329;VARIANT;PA447288;ESSENTIAL HYPERTENSION;DISEASE;PD
PA166157809;rs10739150;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166155256;rs16960228;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166283281;rs444904;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
