Variant_ID	Gene_ID	Drug_ID	Disease_Context	Target_Detail	Type_Association_General	Type_Dosage	Type_Efficacy	Type_Metabolism_PK	Type_No_Association	Type_Toxicity	Dir_Associated	Dir_Decreased	Dir_Increased	Dir_None
ABCB1 intermediate activity	ABCB1	loperamide	general_population	['nan']	0	0	0	0	0	1	0	0	1	0
ABCC4 deficiency	ABCC4	mercaptopurine	general_population	['nan']	0	0	0	0	0	1	0	0	1	0
ABCG2 poor metabolizer	ABCG2	ramipril	general_population	['nan']	0	0	0	1	0	0	0	0	1	0
ABCG2 poor metabolizer	ABCG2	rosuvastatin	general_population	['nan']	0	0	0	1	0	0	0	0	1	0
ABCG5 deficiency	ABCG5	ezetimibe	other:familial hypercholesterolemia	['nan']	0	0	1	0	0	0	0	0	1	0
ABCG8 deficiency	ABCG8	ezetimibe	other:familial hypercholesterolemia	['nan']	0	0	1	0	0	0	0	0	1	0
ALDH2 deficiency	ALDH2	disulfiram	other:alcohol abuse	['nan']	0	0	1	0	0	0	0	0	1	0
BCHE deficiency	BCHE	succinylcholine	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
CDA poor metabolizer	CDA	azacitidine	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
CFTR 3849+10kbC->T	CFTR	elexacaftor / tezacaftor / ivacaftor	other:cystic fibrosis	['nan']	0	0	0	0	1	0	0	0	1	0
CFTR D1152H, CFTR R347H	CFTR	elexacaftor / tezacaftor / ivacaftor	other:cystic fibrosis, other:aspergillosis	['nan']	0	0	0	0	1	0	0	0	0	1
CFTR deficiency	CFTR	elexacaftor	other:cystic fibrosis	['nan']	0	0	0	1	0	0	0	1	0	0
COMT low activity	COMT	acetaminophen	other:fibromyalgia, other:low back pain	['nan']	0	0	0	0	1	0	0	0	0	1
COMT low activity	COMT	duloxetine	other:fibromyalgia, other:low back pain	['nan']	0	0	0	0	1	0	0	0	0	1
COMT low activity	COMT	ibuprofen	other:fibromyalgia, other:low back pain	['nan']	0	0	0	0	1	0	0	0	0	1
COMT low activity	COMT	oxycodone	other:fibromyalgia, other:low back pain	['nan']	0	0	0	0	1	0	0	0	0	1
COMT low activity	COMT	pregabalin	other:fibromyalgia, other:low back pain	['nan']	0	0	0	0	1	0	0	0	0	1
CYB5R3 deficiency	CYB5R3	metoclopramide	disease:chronic kidney failure	['nan']	0	0	0	0	0	1	1	0	0	0
CYP1A1*1, CYP1A1*2A	CYP1A1	exemestane	disease:breast neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
CYP1A1*1, CYP1A1*2A	CYP1A1	granisetron	general_population	['nan']	0	0	0	1	0	0	0	0	1	0
CYP1A2 high activity	CYP1A2	caffeine	disease:pregnancy	['nan']	0	0	0	0	0	1	0	0	1	0
CYP1A2 intermediate metabolizer	CYP1A2	prasugrel	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
CYP1A2 low activity	CYP1A2	caffeine	disease:pregnancy	['nan']	1	0	0	0	0	0	0	0	1	0
CYP1A2 low activity	CYP1A2	methadone	general_population	['nan']	0	0	0	1	0	0	1	0	0	0
CYP1A2 low activity	CYP1A2	n-desmethylclozapine	other:schizophrenia	['nan']	0	0	0	1	0	0	0	1	0	0
CYP1A2 ultrarapid metabolizer	CYP1A2	buprenorphine	disease:opioid-related disorders	['nan']	0	0	0	0	1	0	0	0	0	1
CYP1A2 ultrarapid metabolizer	CYP1A2	clozapine	other:schizophrenia, other:psychotic disorder	['nan']	0	0	0	1	0	0	0	1	0	0
CYP1A2 ultrarapid metabolizer	CYP1A2	methadone	disease:opioid-related disorders	['nan']	0	0	0	0	1	0	0	0	0	1
CYP1A2 ultrarapid metabolizer	CYP1A2	n-desmethylclozapine	other:schizophrenia, other:psychotic disorder	['nan']	0	0	0	1	0	0	0	1	0	0
CYP1A2*1, CYP1A2*30	CYP1A2	antipsychotics	other:mental disorders	['nan']	0	0	0	0	1	0	0	0	0	1
CYP1A2*1, CYP1A2*30	CYP1A2	praziquantel	other:schistosomiasis	['nan']	0	0	0	1	0	0	0	0	1	0
CYP1A2*30	CYP1A2	antidepressants	other:schizophrenia, other:mental disorders, other:neurotic disorder, other:personality disorder	['nan']	0	0	1	0	0	0	0	0	1	0
CYP1A2*30	CYP1A2	antipsychotics	other:schizophrenia, other:mental disorders, other:neurotic disorder, other:personality disorder	['nan']	0	0	1	0	0	0	0	0	1	0
CYP1A2*30	CYP1A2	clozapine	other:tobacco use disorder	['nan']	0	0	0	0	1	0	0	0	0	1
CYP1A2*35	CYP1A2	clozapine	other:schizophrenia	['nan']	0	0	0	1	0	0	0	0	1	0
CYP1A2*35	CYP1A2	n-desmethylclozapine	other:schizophrenia	['nan']	0	0	0	1	0	0	0	0	1	0
CYP1A2*7	CYP1A2	clozapine	other:schizoaffective disorder	['nan']	0	0	0	0	1	0	0	0	0	1
CYP1A2*8	CYP1A2	clozapine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6 high activity	CYP2A6	bupropion	other:tobacco use disorder	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2A6 high activity	CYP2A6	nicotine	other:tobacco use disorder	['nan']	0	0	1	0	0	0	0	0	1	0
CYP2A6 high activity	CYP2A6	varenicline	other:tobacco use disorder	['nan']	0	0	1	0	0	0	0	0	1	0
CYP2A6 intermediate activity	CYP2A6	nicotine	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2A6 low activity	CYP2A6	cotinine	general_population	['nan']	0	0	0	1	0	0	0	0	1	0
CYP2A6 low activity	CYP2A6	cotinine	other:tobacco use disorder	['nan']	0	0	0	1	0	0	0	0	1	0
CYP2A6 low activity	CYP2A6	nicotine	disease:tobacco use disorder	['nan']	1	1	0	0	0	0	0	1	0	0
CYP2A6 low activity	CYP2A6	nicotine	general_population	['nan']	0	0	0	0	0	1	0	1	0	0
CYP2A6 low activity	CYP2A6	nicotine	other:tobacco use disorder	['nan']	0	0	0	0	0	1	0	1	0	0
CYP2A6 low activity	CYP2A6	varenicline	other:tobacco use disorder	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2A6 normal metabolizer	CYP2A6	varenicline	disease:tobacco use disorder	['nan']	0	0	1	0	0	0	0	0	1	0
CYP2A6*1	CYP2A6	tegafur	disease:neoplasms	['nan']	0	0	0	1	0	0	0	0	1	0
CYP2A6*1, CYP2A6*12	CYP2A6	3-hydroxycotinine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*12	CYP2A6	coumarin	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*12	CYP2A6	nicotine	general_population	['nan']	0	0	0	0	1	1	0	1	0	1
CYP2A6*1, CYP2A6*17	CYP2A6	efavirenz	disease:hiv infectious disease	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2A6*1, CYP2A6*17	CYP2A6	metronidazole	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2A6*1, CYP2A6*17, CYP2A6*20	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*1x2	CYP2A6	nicotine	general_population	['nan']	0	0	0	0	1	1	0	0	1	1
CYP2A6*1, CYP2A6*2	CYP2A6	nicotine	disease:tobacco use disorder	['nan']	0	1	0	0	0	0	0	1	0	0
CYP2A6*1, CYP2A6*2, CYP2A6*4, CYP2A6*7, CYP2A6*9, CYP2A6*10, CYP2A6*11, CYP2A6*13, CYP2A6*15, CYP2A6*17, CYP2A6*19, CYP2A6*20	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*2, CYP2A6*4, CYP2A6*9, CYP2A6*12	CYP2A6	cotinine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*2, CYP2A6*4, CYP2A6*9, CYP2A6*12	CYP2A6	letrozole	disease:breast neoplasms	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*2, CYP2A6*4, CYP2A6*9, CYP2A6*12	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*2, CYP2A6*4, CYP2A6*9, CYP2A6*12, CYP2A6*17, CYP2A6*20, CYP2A6*23, CYP2A6*24, CYP2A6*25, CYP2A6*26, CYP2A6*27, CYP2A6*28, CYP2A6*35	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*2, CYP2A6*4, CYP2A6*9, CYP2A6*12, CYP2A6*17, CYP2A6*20, CYP2A6*23, CYP2A6*24, CYP2A6*25, CYP2A6*26, CYP2A6*27, CYP2A6*28, CYP2A6*35, CYP2A6*46	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	1	0	0	1	0	1
CYP2A6*1, CYP2A6*2, CYP2A6*4, CYP2A6*9, CYP2A6*12, CYP2A6*17, CYP2A6*20, CYP2A6*23, CYP2A6*35	CYP2A6	letrozole	disease:breast neoplasms	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*2, CYP2A6*4, CYP2A6*9, CYP2A6*14, CYP2A6*38, CYP2A6*46	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	0	1	0
CYP2A6*1, CYP2A6*2, CYP2A6*9	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*2, CYP2A6*9, CYP2A6*10	CYP2A6	3-hydroxycotinine	other:tobacco use disorder	['nan']	0	0	0	1	0	0	0	0	1	0
CYP2A6*1, CYP2A6*2, CYP2A6*9, CYP2A6*10	CYP2A6	3-hydroxycotinine glucuronide	other:tobacco use disorder	['nan']	0	0	0	1	0	0	0	0	1	0
CYP2A6*1, CYP2A6*2, CYP2A6*9, CYP2A6*17	CYP2A6	metronidazole	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*2, CYP2A6*9, CYP2A6*17	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*2, CYP2A6*9, CYP2A6*17, CYP2A6*20	CYP2A6	cotinine	general_population	['nan']	0	0	0	1	0	0	1	0	0	0
CYP2A6*1, CYP2A6*20	CYP2A6	coumarin	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*20	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*26	CYP2A6	letrozole	disease:breast neoplasms	['nan']	0	0	0	1	0	0	1	0	0	0
CYP2A6*1, CYP2A6*28	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*35	CYP2A6	letrozole	disease:breast neoplasms	['nan']	0	0	0	0	1	0	1	0	0	0
CYP2A6*1, CYP2A6*35	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*39	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*4	CYP2A6	docetaxel	disease:stomach neoplasms	['nan']	0	0	1	0	0	0	0	1	0	0
CYP2A6*1, CYP2A6*4	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	1	0	0	1	0	1
CYP2A6*1, CYP2A6*4	CYP2A6	tegafur	disease:stomach neoplasms	['nan']	0	0	1	0	0	0	0	1	0	0
CYP2A6*1, CYP2A6*4	CYP2A6	tegafur	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*4	CYP2A6	valproic acid	disease:epilepsy	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*4, CYP2A6*10	CYP2A6	coumarin	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*4, CYP2A6*11	CYP2A6	tegafur	other:stomach neoplasms	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*4, CYP2A6*46	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*4, CYP2A6*7	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*4, CYP2A6*7	CYP2A6	tegafur	disease:neoplasms	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*4, CYP2A6*7, CYP2A6*9	CYP2A6	coumarin	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*4, CYP2A6*7, CYP2A6*9	CYP2A6	fluorouracil	disease:neoplasms	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*4, CYP2A6*7, CYP2A6*9	CYP2A6	irinotecan	disease:colorectal neoplasms	['nan']	0	0	1	0	1	0	0	1	0	1
CYP2A6*1, CYP2A6*4, CYP2A6*7, CYP2A6*9	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*4, CYP2A6*7, CYP2A6*9	CYP2A6	oxaliplatin	disease:colorectal neoplasms	['nan']	0	0	1	0	1	0	0	1	0	1
CYP2A6*1, CYP2A6*4, CYP2A6*7, CYP2A6*9	CYP2A6	tegafur	disease:neoplasms	['nan']	0	0	0	1	1	0	0	0	1	1
CYP2A6*1, CYP2A6*4, CYP2A6*7, CYP2A6*9	CYP2A6	tegafur	disease:non-small cell lung carcinoma	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*4, CYP2A6*7, CYP2A6*9	CYP2A6	tegafur / gimeracil / oteracil	disease:colorectal neoplasms	['nan']	0	0	1	0	1	0	0	1	0	1
CYP2A6*1, CYP2A6*4, CYP2A6*7, CYP2A6*9, CYP2A6*10	CYP2A6	coumarin	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*4, CYP2A6*7, CYP2A6*9, CYP2A6*10	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*4, CYP2A6*7, CYP2A6*9, CYP2A6*10	CYP2A6	oxaliplatin	disease:biliary tract neoplasm	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2A6*1, CYP2A6*4, CYP2A6*7, CYP2A6*9, CYP2A6*10	CYP2A6	tegafur	disease:biliary tract neoplasm	['nan']	0	0	0	1	1	0	0	0	1	1
CYP2A6*1, CYP2A6*4, CYP2A6*7, CYP2A6*9, CYP2A6*10	CYP2A6	tegafur / gimeracil / oteracil	disease:stomach neoplasms	['nan']	0	0	1	0	0	0	0	1	0	0
CYP2A6*1, CYP2A6*4, CYP2A6*7, CYP2A6*9, CYP2A6*10	CYP2A6	tegafur / gimeracil / oteracil	other:stomach neoplasms	['nan']	0	0	1	0	0	0	0	1	0	0
CYP2A6*1, CYP2A6*4, CYP2A6*7, CYP2A6*9, CYP2A6*10, CYP2A6*11	CYP2A6	tegafur	disease:neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2A6*1, CYP2A6*4, CYP2A6*7, CYP2A6*9, CYP2A6*46	CYP2A6	letrozole	general_population	['nan']	0	0	0	1	0	0	0	0	1	0
CYP2A6*1, CYP2A6*4, CYP2A6*9	CYP2A6	caffeine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*4, CYP2A6*9	CYP2A6	dexmedetomidine	other:icu patients	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2A6*1, CYP2A6*4, CYP2A6*9	CYP2A6	letrozole	other:breast neoplasms	['nan']	0	0	1	0	0	0	0	0	1	0
CYP2A6*1, CYP2A6*4, CYP2A6*9	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*4, CYP2A6*9, CYP2A6*10	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*41	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*46	CYP2A6	nicotine	general_population	['nan']	1	0	0	1	0	0	0	0	1	0
CYP2A6*1, CYP2A6*55	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*6	CYP2A6	coumarin	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*7	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*7, CYP2A6*10, CYP2A6*11	CYP2A6	caffeine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*9	CYP2A6	efavirenz	disease:hiv infectious disease	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2A6*1, CYP2A6*9	CYP2A6	nicotine	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2A6*1, CYP2A6*9, CYP2A6*12, CYP2A6*38, CYP2A6*46	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
